Prompt Type,Series Type,Format,sMAPE Mean,MAE Mean,RMSE Mean,Inference Time (s) Mean,Financial Cost ($) Mean,CarbonTracker CO2 (g) Mean,CarbonTracker Energy Consumption (Wh) Mean,Eco2AI CO2 (g) Mean,Eco2AI Energy Consumption (Wh) Mean,Input Tokens Mean,Output Tokens Mean,Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Examples,Sampling Strategy,Actual Values,Predicted Values,Prompt,sMAPE SEM,MAE SEM,RMSE SEM
cot,numeric,csv,59.112,32.007999999999996,37.238,26.612919282913207,0.0015831999999999999,0.0,0.0,7.659999999999999e-05,0.000677,6588.0,3134.8,Retail,2017-01-01 00:00:00,2017-12-30 00:00:00,7,gpt-5-nano-2025-08-07,1,0,,"[78.43500000000004, 0.0, 125.11999999999998, 45.54, 46.365, 39.96, 41.655]","[78.0, 79.5, 81.0, 79.8, 78.2, 77.6, 78.9]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 70.1202
- Median: 47.26
- Standard Deviation: 47.772
- Minimum Value: 0.0
- Maximum Value: 243.18
- First Quartile (Q1): 36.8788
- Third Quartile (Q3): 102.9538
- Trend Strength (STL): 0.2764
- Seasonality Strength (STL): 0.9071

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",7.878104086644195,4.404551509518307,4.457885597455368
cot,numeric,plain,57.29600000000001,29.580000000000002,34.974000000000004,21.465477085113527,0.0015434,0.0,0.0,6.220000000000001e-05,0.0005484,8769.0,2761.8,Retail,2017-01-01 00:00:00,2017-12-30 00:00:00,7,gpt-5-nano-2025-08-07,1,0,,"[78.43500000000004, 0.0, 125.11999999999998, 45.54, 46.365, 39.96, 41.655]","[60.2, 62.8, 66.1, 64.7, 68.4, 70.0, 67.9]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 70.1202
- Median: 47.26
- Standard Deviation: 47.772
- Minimum Value: 0.0
- Maximum Value: 243.18
- First Quartile (Q1): 36.8788
- Third Quartile (Q3): 102.9538
- Trend Strength (STL): 0.2764
- Seasonality Strength (STL): 0.9071

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",7.388853496991262,3.647286662712433,3.674197327308374
cot,textual,csv,65.42,32.422000000000004,37.504000000000005,31.193380498886107,0.0019902,0.0,0.0,8.94e-05,0.0007915999999999999,8924.0,3860.0,Retail,2017-01-01 00:00:00,2017-12-30 00:00:00,7,gpt-5-nano-2025-08-07,1,0,,"[78.43500000000004, 0.0, 125.11999999999998, 45.54, 46.365, 39.96, 41.655]","[76.4, 77.0, 77.6, 77.2, 77.8, 78.4, 78.9]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 70.1202
- Median: 47.26
- Standard Deviation: 47.772
- Minimum Value: 0.0
- Maximum Value: 243.18
- First Quartile (Q1): 36.8788
- Third Quartile (Q3): 102.9538
- Trend Strength (STL): 0.2764
- Seasonality Strength (STL): 0.9071

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",2.198424435817615,4.286705494899317,4.310711774173727
cot,textual,plain,60.872,34.032,39.302,20.520644092559813,0.0017050000000000004,0.0,0.0,5.9199999999999996e-05,0.0005250000000000001,11105.0,2874.4,Retail,2017-01-01 00:00:00,2017-12-30 00:00:00,7,gpt-5-nano-2025-08-07,1,0,,"[78.43500000000004, 0.0, 125.11999999999998, 45.54, 46.365, 39.96, 41.655]","[77.2, 70.4, 74.8, 68.9, 79.1, 71.5, 75.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 70.1202
- Median: 47.26
- Standard Deviation: 47.772
- Minimum Value: 0.0
- Maximum Value: 243.18
- First Quartile (Q1): 36.8788
- Third Quartile (Q3): 102.9538
- Trend Strength (STL): 0.2764
- Seasonality Strength (STL): 0.9071

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",8.179219033624175,4.811868036428264,4.921747047543178
cot_few,numeric,csv,57.132000000000005,29.234,34.336,19.1838116645813,0.0015014,0.0,0.0,5.5599999999999996e-05,0.0004934,7363.0,2833.0,Retail,2017-01-01 00:00:00,2017-12-30 00:00:00,7,gpt-5-nano-2025-08-07,1,3,uniform,"[78.43500000000004, 0.0, 125.11999999999998, 45.54, 46.365, 39.96, 41.655]","[60.75, 63.2, 59.9, 66.4, 62.8, 65.5, 61.25]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 70.1202
- Median: 47.26
- Standard Deviation: 47.772
- Minimum Value: 0.0
- Maximum Value: 243.18
- First Quartile (Q1): 36.8788
- Third Quartile (Q3): 102.9538
- Trend Strength (STL): 0.2764
- Seasonality Strength (STL): 0.9071

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date,value
2017-01-01 00:00:00,0.0
2017-01-02 00:00:00,158.12
2017-01-03 00:00:00,159.43
2017-01-04 00:00:00,38.35
2017-01-05 00:00:00,38.785
2017-01-06 00:00:00,30.55
2017-01-07 00:00:00,52.065

Output (forecast):
date,value
2017-01-08 00:00:00,44.03
2017-01-09 00:00:00,120.86
2017-01-10 00:00:00,107.62
2017-01-11 00:00:00,26.71
2017-01-12 00:00:00,27.335
2017-01-13 00:00:00,33.725
2017-01-14 00:00:00,45.905

- Example 2:
Input (history):
date,value
2017-06-25 00:00:00,53.965
2017-06-26 00:00:00,129.065
2017-06-27 00:00:00,153.655
2017-06-28 00:00:00,30.335
2017-06-29 00:00:00,31.725
2017-06-30 00:00:00,49.56
2017-07-01 00:00:00,95.695

Output (forecast):
date,value
2017-07-02 00:00:00,52.435
2017-07-03 00:00:00,101.29
2017-07-04 00:00:00,116.46
2017-07-05 00:00:00,38.46
2017-07-06 00:00:00,36.08
2017-07-07 00:00:00,32.175
2017-07-08 00:00:00,51.625

- Example 3:
Input (history):
date,value
2017-12-17 00:00:00,43.035
2017-12-18 00:00:00,77.76
2017-12-19 00:00:00,110.99
2017-12-20 00:00:00,30.55
2017-12-21 00:00:00,47.22
2017-12-22 00:00:00,38.315
2017-12-23 00:00:00,75.57

Output (forecast):
date,value
2017-12-24 00:00:00,84.815
2017-12-25 00:00:00,0.0
2017-12-26 00:00:00,119.15
2017-12-27 00:00:00,40.175
2017-12-28 00:00:00,27.865
2017-12-29 00:00:00,75.41
2017-12-30 00:00:00,76.15

[INPUT]",7.351579694188181,3.567942824654005,3.6113717615332814
cot_few,numeric,plain,56.61800000000001,29.0,34.33,19.398730754852295,0.0016704,0.0,0.0,5.64e-05,0.0004986,9778.0,2953.8,Retail,2017-01-01 00:00:00,2017-12-30 00:00:00,7,gpt-5-nano-2025-08-07,1,3,uniform,"[78.43500000000004, 0.0, 125.11999999999998, 45.54, 46.365, 39.96, 41.655]","[84.815, 0.0, 119.15, 40.175, 27.865, 75.41, 76.15]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 70.1202
- Median: 47.26
- Standard Deviation: 47.772
- Minimum Value: 0.0
- Maximum Value: 243.18
- First Quartile (Q1): 36.8788
- Third Quartile (Q3): 102.9538
- Trend Strength (STL): 0.2764
- Seasonality Strength (STL): 0.9071

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date: 2017-01-01 00:00:00, value: 0.0
date: 2017-01-02 00:00:00, value: 158.12
date: 2017-01-03 00:00:00, value: 159.43
date: 2017-01-04 00:00:00, value: 38.35
date: 2017-01-05 00:00:00, value: 38.785
date: 2017-01-06 00:00:00, value: 30.55
date: 2017-01-07 00:00:00, value: 52.065

Output (forecast):
date: 2017-01-08 00:00:00, value: 44.03
date: 2017-01-09 00:00:00, value: 120.86
date: 2017-01-10 00:00:00, value: 107.62
date: 2017-01-11 00:00:00, value: 26.71
date: 2017-01-12 00:00:00, value: 27.335
date: 2017-01-13 00:00:00, value: 33.725
date: 2017-01-14 00:00:00, value: 45.905

- Example 2:
Input (history):
date: 2017-06-25 00:00:00, value: 53.965
date: 2017-06-26 00:00:00, value: 129.065
date: 2017-06-27 00:00:00, value: 153.655
date: 2017-06-28 00:00:00, value: 30.335
date: 2017-06-29 00:00:00, value: 31.725
date: 2017-06-30 00:00:00, value: 49.56
date: 2017-07-01 00:00:00, value: 95.695

Output (forecast):
date: 2017-07-02 00:00:00, value: 52.435
date: 2017-07-03 00:00:00, value: 101.29
date: 2017-07-04 00:00:00, value: 116.46
date: 2017-07-05 00:00:00, value: 38.46
date: 2017-07-06 00:00:00, value: 36.08
date: 2017-07-07 00:00:00, value: 32.175
date: 2017-07-08 00:00:00, value: 51.625

- Example 3:
Input (history):
date: 2017-12-17 00:00:00, value: 43.035
date: 2017-12-18 00:00:00, value: 77.76
date: 2017-12-19 00:00:00, value: 110.99
date: 2017-12-20 00:00:00, value: 30.55
date: 2017-12-21 00:00:00, value: 47.22
date: 2017-12-22 00:00:00, value: 38.315
date: 2017-12-23 00:00:00, value: 75.57

Output (forecast):
date: 2017-12-24 00:00:00, value: 84.815
date: 2017-12-25 00:00:00, value: 0.0
date: 2017-12-26 00:00:00, value: 119.15
date: 2017-12-27 00:00:00, value: 40.175
date: 2017-12-28 00:00:00, value: 27.865
date: 2017-12-29 00:00:00, value: 75.41
date: 2017-12-30 00:00:00, value: 76.15

[INPUT]",7.241203214936035,3.5612919004204078,3.554817857499874
cot_few,textual,csv,43.79600000000001,24.096,29.409999999999997,27.749457550048827,0.0019972,0.0,0.0,8e-05,0.0007088,9959.0,3747.8,Retail,2017-01-01 00:00:00,2017-12-30 00:00:00,7,gpt-5-nano-2025-08-07,1,3,uniform,"[78.43500000000004, 0.0, 125.11999999999998, 45.54, 46.365, 39.96, 41.655]","[76.15, 76.9, 77.65, 78.5, 79.35, 80.2, 81.05]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 70.1202
- Median: 47.26
- Standard Deviation: 47.772
- Minimum Value: 0.0
- Maximum Value: 243.18
- First Quartile (Q1): 36.8788
- Third Quartile (Q3): 102.9538
- Trend Strength (STL): 0.2764
- Seasonality Strength (STL): 0.9071

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date,value
2017-01-01 00:00:00,0 . 0
2017-01-02 00:00:00,1 5 8 . 1 2
2017-01-03 00:00:00,1 5 9 . 4 3
2017-01-04 00:00:00,3 8 . 3 5
2017-01-05 00:00:00,3 8 . 7 8 5
2017-01-06 00:00:00,3 0 . 5 5
2017-01-07 00:00:00,5 2 . 0 6 5

Output (forecast):
date,value
2017-01-08 00:00:00,4 4 . 0 3
2017-01-09 00:00:00,1 2 0 . 8 6
2017-01-10 00:00:00,1 0 7 . 6 2
2017-01-11 00:00:00,2 6 . 7 1
2017-01-12 00:00:00,2 7 . 3 3 5
2017-01-13 00:00:00,3 3 . 7 2 5
2017-01-14 00:00:00,4 5 . 9 0 5

- Example 2:
Input (history):
date,value
2017-06-25 00:00:00,5 3 . 9 6 5
2017-06-26 00:00:00,1 2 9 . 0 6 5
2017-06-27 00:00:00,1 5 3 . 6 5 5
2017-06-28 00:00:00,3 0 . 3 3 5
2017-06-29 00:00:00,3 1 . 7 2 5
2017-06-30 00:00:00,4 9 . 5 6
2017-07-01 00:00:00,9 5 . 6 9 5

Output (forecast):
date,value
2017-07-02 00:00:00,5 2 . 4 3 5
2017-07-03 00:00:00,1 0 1 . 2 9
2017-07-04 00:00:00,1 1 6 . 4 6
2017-07-05 00:00:00,3 8 . 4 6
2017-07-06 00:00:00,3 6 . 0 8
2017-07-07 00:00:00,3 2 . 1 7 5
2017-07-08 00:00:00,5 1 . 6 2 5

- Example 3:
Input (history):
date,value
2017-12-17 00:00:00,4 3 . 0 3 5
2017-12-18 00:00:00,7 7 . 7 6
2017-12-19 00:00:00,1 1 0 . 9 9
2017-12-20 00:00:00,3 0 . 5 5
2017-12-21 00:00:00,4 7 . 2 2
2017-12-22 00:00:00,3 8 . 3 1 5
2017-12-23 00:00:00,7 5 . 5 7

Output (forecast):
date,value
2017-12-24 00:00:00,8 4 . 8 1 5
2017-12-25 00:00:00,0 . 0
2017-12-26 00:00:00,1 1 9 . 1 5
2017-12-27 00:00:00,4 0 . 1 7 5
2017-12-28 00:00:00,2 7 . 8 6 5
2017-12-29 00:00:00,7 5 . 4 1
2017-12-30 00:00:00,7 6 . 1 5

[INPUT]",9.769703987327354,5.484063821656345,5.567783221354796
cot_few,textual,plain,43.774,23.541999999999998,28.526,628.3101703166964,0.0023228,0.0,0.0,0.0017846000000000001,0.015783,12374.0,4259.6,Retail,2017-01-01 00:00:00,2017-12-30 00:00:00,7,gpt-5-nano-2025-08-07,1,3,uniform,"[78.43500000000004, 0.0, 125.11999999999998, 45.54, 46.365, 39.96, 41.655]","[74.85, 77.1, 75.6, 73.2, 75.4, 77.8, 76.5]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 70.1202
- Median: 47.26
- Standard Deviation: 47.772
- Minimum Value: 0.0
- Maximum Value: 243.18
- First Quartile (Q1): 36.8788
- Third Quartile (Q3): 102.9538
- Trend Strength (STL): 0.2764
- Seasonality Strength (STL): 0.9071

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date: 2017-01-01 00:00:00, value: 0 . 0
date: 2017-01-02 00:00:00, value: 1 5 8 . 1 2
date: 2017-01-03 00:00:00, value: 1 5 9 . 4 3
date: 2017-01-04 00:00:00, value: 3 8 . 3 5
date: 2017-01-05 00:00:00, value: 3 8 . 7 8 5
date: 2017-01-06 00:00:00, value: 3 0 . 5 5
date: 2017-01-07 00:00:00, value: 5 2 . 0 6 5

Output (forecast):
date: 2017-01-08 00:00:00, value: 4 4 . 0 3
date: 2017-01-09 00:00:00, value: 1 2 0 . 8 6
date: 2017-01-10 00:00:00, value: 1 0 7 . 6 2
date: 2017-01-11 00:00:00, value: 2 6 . 7 1
date: 2017-01-12 00:00:00, value: 2 7 . 3 3 5
date: 2017-01-13 00:00:00, value: 3 3 . 7 2 5
date: 2017-01-14 00:00:00, value: 4 5 . 9 0 5

- Example 2:
Input (history):
date: 2017-06-25 00:00:00, value: 5 3 . 9 6 5
date: 2017-06-26 00:00:00, value: 1 2 9 . 0 6 5
date: 2017-06-27 00:00:00, value: 1 5 3 . 6 5 5
date: 2017-06-28 00:00:00, value: 3 0 . 3 3 5
date: 2017-06-29 00:00:00, value: 3 1 . 7 2 5
date: 2017-06-30 00:00:00, value: 4 9 . 5 6
date: 2017-07-01 00:00:00, value: 9 5 . 6 9 5

Output (forecast):
date: 2017-07-02 00:00:00, value: 5 2 . 4 3 5
date: 2017-07-03 00:00:00, value: 1 0 1 . 2 9
date: 2017-07-04 00:00:00, value: 1 1 6 . 4 6
date: 2017-07-05 00:00:00, value: 3 8 . 4 6
date: 2017-07-06 00:00:00, value: 3 6 . 0 8
date: 2017-07-07 00:00:00, value: 3 2 . 1 7 5
date: 2017-07-08 00:00:00, value: 5 1 . 6 2 5

- Example 3:
Input (history):
date: 2017-12-17 00:00:00, value: 4 3 . 0 3 5
date: 2017-12-18 00:00:00, value: 7 7 . 7 6
date: 2017-12-19 00:00:00, value: 1 1 0 . 9 9
date: 2017-12-20 00:00:00, value: 3 0 . 5 5
date: 2017-12-21 00:00:00, value: 4 7 . 2 2
date: 2017-12-22 00:00:00, value: 3 8 . 3 1 5
date: 2017-12-23 00:00:00, value: 7 5 . 5 7

Output (forecast):
date: 2017-12-24 00:00:00, value: 8 4 . 8 1 5
date: 2017-12-25 00:00:00, value: 0 . 0
date: 2017-12-26 00:00:00, value: 1 1 9 . 1 5
date: 2017-12-27 00:00:00, value: 4 0 . 1 7 5
date: 2017-12-28 00:00:00, value: 2 7 . 8 6 5
date: 2017-12-29 00:00:00, value: 7 5 . 4 1
date: 2017-12-30 00:00:00, value: 7 6 . 1 5

[INPUT]",9.739545471940671,5.1361399903040015,5.0480507128989895
few_shot,numeric,csv,67.09400000000001,36.952,43.208,19.76711587905884,0.0014550000000000001,0.0,0.0,8.58e-05,0.0007584,7250.0,2730.8,Retail,2017-01-01 00:00:00,2017-12-30 00:00:00,7,gpt-5-nano-2025-08-07,1,3,uniform,"[78.43500000000004, 0.0, 125.11999999999998, 45.54, 46.365, 39.96, 41.655]","[72.5, 86.0, 78.3, 65.0, 92.1, 69.5, 80.2]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 70.1202
- Median: 47.26
- Standard Deviation: 47.772
- Minimum Value: 0.0
- Maximum Value: 243.18
- First Quartile (Q1): 36.8788
- Third Quartile (Q3): 102.9538
- Trend Strength (STL): 0.2764
- Seasonality Strength (STL): 0.9071

[EXAMPLES]
- Example 1:
Input (history):
date,value
2017-01-01 00:00:00,0.0
2017-01-02 00:00:00,158.12
2017-01-03 00:00:00,159.43
2017-01-04 00:00:00,38.35
2017-01-05 00:00:00,38.785
2017-01-06 00:00:00,30.55
2017-01-07 00:00:00,52.065

Output (forecast):
date,value
2017-01-08 00:00:00,44.03
2017-01-09 00:00:00,120.86
2017-01-10 00:00:00,107.62
2017-01-11 00:00:00,26.71
2017-01-12 00:00:00,27.335
2017-01-13 00:00:00,33.725
2017-01-14 00:00:00,45.905

- Example 2:
Input (history):
date,value
2017-06-25 00:00:00,53.965
2017-06-26 00:00:00,129.065
2017-06-27 00:00:00,153.655
2017-06-28 00:00:00,30.335
2017-06-29 00:00:00,31.725
2017-06-30 00:00:00,49.56
2017-07-01 00:00:00,95.695

Output (forecast):
date,value
2017-07-02 00:00:00,52.435
2017-07-03 00:00:00,101.29
2017-07-04 00:00:00,116.46
2017-07-05 00:00:00,38.46
2017-07-06 00:00:00,36.08
2017-07-07 00:00:00,32.175
2017-07-08 00:00:00,51.625

- Example 3:
Input (history):
date,value
2017-12-17 00:00:00,43.035
2017-12-18 00:00:00,77.76
2017-12-19 00:00:00,110.99
2017-12-20 00:00:00,30.55
2017-12-21 00:00:00,47.22
2017-12-22 00:00:00,38.315
2017-12-23 00:00:00,75.57

Output (forecast):
date,value
2017-12-24 00:00:00,84.815
2017-12-25 00:00:00,0.0
2017-12-26 00:00:00,119.15
2017-12-27 00:00:00,40.175
2017-12-28 00:00:00,27.865
2017-12-29 00:00:00,75.41
2017-12-30 00:00:00,76.15

[INPUT]",0.890536916696888,1.6463365391073594,2.466798329819445
few_shot,numeric,plain,64.462,33.64,39.519999999999996,20.1301477432251,0.0014908,0.0,0.0,5.8200000000000005e-05,0.0005154000000000001,9665.0,2519.2,Retail,2017-01-01 00:00:00,2017-12-30 00:00:00,7,gpt-5-nano-2025-08-07,1,3,uniform,"[78.43500000000004, 0.0, 125.11999999999998, 45.54, 46.365, 39.96, 41.655]","[70.8, 74.2, 68.5, 72.0, 69.9, 71.3, 73.6]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 70.1202
- Median: 47.26
- Standard Deviation: 47.772
- Minimum Value: 0.0
- Maximum Value: 243.18
- First Quartile (Q1): 36.8788
- Third Quartile (Q3): 102.9538
- Trend Strength (STL): 0.2764
- Seasonality Strength (STL): 0.9071

[EXAMPLES]
- Example 1:
Input (history):
date: 2017-01-01 00:00:00, value: 0.0
date: 2017-01-02 00:00:00, value: 158.12
date: 2017-01-03 00:00:00, value: 159.43
date: 2017-01-04 00:00:00, value: 38.35
date: 2017-01-05 00:00:00, value: 38.785
date: 2017-01-06 00:00:00, value: 30.55
date: 2017-01-07 00:00:00, value: 52.065

Output (forecast):
date: 2017-01-08 00:00:00, value: 44.03
date: 2017-01-09 00:00:00, value: 120.86
date: 2017-01-10 00:00:00, value: 107.62
date: 2017-01-11 00:00:00, value: 26.71
date: 2017-01-12 00:00:00, value: 27.335
date: 2017-01-13 00:00:00, value: 33.725
date: 2017-01-14 00:00:00, value: 45.905

- Example 2:
Input (history):
date: 2017-06-25 00:00:00, value: 53.965
date: 2017-06-26 00:00:00, value: 129.065
date: 2017-06-27 00:00:00, value: 153.655
date: 2017-06-28 00:00:00, value: 30.335
date: 2017-06-29 00:00:00, value: 31.725
date: 2017-06-30 00:00:00, value: 49.56
date: 2017-07-01 00:00:00, value: 95.695

Output (forecast):
date: 2017-07-02 00:00:00, value: 52.435
date: 2017-07-03 00:00:00, value: 101.29
date: 2017-07-04 00:00:00, value: 116.46
date: 2017-07-05 00:00:00, value: 38.46
date: 2017-07-06 00:00:00, value: 36.08
date: 2017-07-07 00:00:00, value: 32.175
date: 2017-07-08 00:00:00, value: 51.625

- Example 3:
Input (history):
date: 2017-12-17 00:00:00, value: 43.035
date: 2017-12-18 00:00:00, value: 77.76
date: 2017-12-19 00:00:00, value: 110.99
date: 2017-12-20 00:00:00, value: 30.55
date: 2017-12-21 00:00:00, value: 47.22
date: 2017-12-22 00:00:00, value: 38.315
date: 2017-12-23 00:00:00, value: 75.57

Output (forecast):
date: 2017-12-24 00:00:00, value: 84.815
date: 2017-12-25 00:00:00, value: 0.0
date: 2017-12-26 00:00:00, value: 119.15
date: 2017-12-27 00:00:00, value: 40.175
date: 2017-12-28 00:00:00, value: 27.865
date: 2017-12-29 00:00:00, value: 75.41
date: 2017-12-30 00:00:00, value: 76.15

[INPUT]",0.6729442770393383,0.8202560575820216,0.7647679386585187
