Prompt Type,Series Type,Format,sMAPE Mean,MAE Mean,RMSE Mean,Inference Time (s) Mean,Financial Cost ($) Mean,CarbonTracker CO2 (g) Mean,CarbonTracker Energy Consumption (Wh) Mean,Eco2AI CO2 (g) Mean,Eco2AI Energy Consumption (Wh) Mean,Input Tokens Mean,Output Tokens Mean,Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Examples,Sampling Strategy,Actual Values,Predicted Values,Prompt,sMAPE SEM,MAE SEM,RMSE SEM
cot,numeric,csv,34.6,1234.656,1562.1100000000001,6.500573635101318,0.0,0.1374808,1.3320192,0.12267600000000001,1.0849674,2215.0,157.0,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,meta/llama-3.3-70b,0.7,0,,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[2191.0, 5921.0, 6182.0, 5389.0, 4675.0, 2034.0, 2291.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.1331
- Seasonality Strength (STL): 0.129

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",7.664858120017618,337.40551691695856,339.24422982565227
cot,numeric,plain,46.616,1705.94,2211.006,6.52457275390625,0.0,0.1379646,1.3367076,0.1226912,1.0851023999999998,2215.0,156.8,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,meta/llama-3.3-70b,0.7,0,,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4621.0, 5539.0, 5037.0, 2194.0, 5878.0, 6292.0, 5365.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.1331
- Seasonality Strength (STL): 0.129

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",2.4337719695978093,98.06930182274166,74.76671977557933
cot,textual,csv,36.402,1296.458,1805.5,6.599559926986695,0.0,0.1388222,1.345016,0.12351480000000001,1.0923854,2214.0,160.0,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,meta/llama-3.3-70b,0.7,0,,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[5121.0, 4789.0, 5642.0, 4325.0, 5287.0, 4938.0, 4596.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.1331
- Seasonality Strength (STL): 0.129

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",0.12850680915811405,6.350803413742247,26.95833414734671
cot,textual,plain,34.376,1196.342,1776.3799999999999,6.552286529541016,0.0,0.13986320000000002,1.3551026,0.1244276,1.1004572,2215.0,158.0,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,meta/llama-3.3-70b,0.7,0,,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4931.0, 4987.0, 5035.0, 5066.0, 5090.0, 5108.0, 5119.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.1331
- Seasonality Strength (STL): 0.129

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",0.506197589879683,22.570875791603644,30.47160629175956
cot_few,numeric,csv,17.238,551.028,810.538,6.121435260772705,0.0,0.1253778,1.214757,0.1165346,1.0306506,2581.0,145.2,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,meta/llama-3.3-70b,0.7,3,uniform,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1892.0, 5315.0, 5539.0, 5358.0, 4631.0, 1987.0, 2246.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.1331
- Seasonality Strength (STL): 0.129

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date,value
2012-07-08 00:00:00,1735
2012-07-09 00:00:00,4993
2012-07-10 00:00:00,5343
2012-07-11 00:00:00,5103
2012-07-12 00:00:00,4844
2012-07-13 00:00:00,3962
2012-07-14 00:00:00,1658

Output (forecast):
date,value
2012-07-15 00:00:00,1762
2012-07-16 00:00:00,4827
2012-07-17 00:00:00,5182
2012-07-18 00:00:00,5162
2012-07-19 00:00:00,4600
2012-07-20 00:00:00,3913
2012-07-21 00:00:00,1614

- Example 2:
Input (history):
date,value
2012-12-30 00:00:00,1288
2012-12-31 00:00:00,1950
2013-01-01 00:00:00,2592
2013-01-02 00:00:00,4022
2013-01-03 00:00:00,4590
2013-01-04 00:00:00,4223
2013-01-05 00:00:00,1753

Output (forecast):
date,value
2013-01-06 00:00:00,1878
2013-01-07 00:00:00,5279
2013-01-08 00:00:00,5499
2013-01-09 00:00:00,5772
2013-01-10 00:00:00,5584
2013-01-11 00:00:00,4608
2013-01-12 00:00:00,2023

- Example 3:
Input (history):
date,value
2013-06-23 00:00:00,2077
2013-06-24 00:00:00,5493
2013-06-25 00:00:00,5674
2013-06-26 00:00:00,5559
2013-06-27 00:00:00,5252
2013-06-28 00:00:00,4226
2013-06-29 00:00:00,1737

Output (forecast):
date,value
2013-06-30 00:00:00,1731
2013-07-01 00:00:00,5025
2013-07-02 00:00:00,5292
2013-07-03 00:00:00,5266
2013-07-04 00:00:00,4330
2013-07-05 00:00:00,3763
2013-07-06 00:00:00,1522

[INPUT]",5.4561922620083685,168.43095081961627,251.78844011193203
cot_few,numeric,plain,20.694,688.912,986.076,6.574856090545654,0.0,0.13919700000000002,1.3486486,0.121372,1.0734318,2698.0,156.2,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,meta/llama-3.3-70b,0.7,3,uniform,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1942.0, 5098.0, 5571.0, 5639.0, 4765.0, 4094.0, 1688.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.1331
- Seasonality Strength (STL): 0.129

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date: 2012-07-08 00:00:00, value: 1735
date: 2012-07-09 00:00:00, value: 4993
date: 2012-07-10 00:00:00, value: 5343
date: 2012-07-11 00:00:00, value: 5103
date: 2012-07-12 00:00:00, value: 4844
date: 2012-07-13 00:00:00, value: 3962
date: 2012-07-14 00:00:00, value: 1658

Output (forecast):
date: 2012-07-15 00:00:00, value: 1762
date: 2012-07-16 00:00:00, value: 4827
date: 2012-07-17 00:00:00, value: 5182
date: 2012-07-18 00:00:00, value: 5162
date: 2012-07-19 00:00:00, value: 4600
date: 2012-07-20 00:00:00, value: 3913
date: 2012-07-21 00:00:00, value: 1614

- Example 2:
Input (history):
date: 2012-12-30 00:00:00, value: 1288
date: 2012-12-31 00:00:00, value: 1950
date: 2013-01-01 00:00:00, value: 2592
date: 2013-01-02 00:00:00, value: 4022
date: 2013-01-03 00:00:00, value: 4590
date: 2013-01-04 00:00:00, value: 4223
date: 2013-01-05 00:00:00, value: 1753

Output (forecast):
date: 2013-01-06 00:00:00, value: 1878
date: 2013-01-07 00:00:00, value: 5279
date: 2013-01-08 00:00:00, value: 5499
date: 2013-01-09 00:00:00, value: 5772
date: 2013-01-10 00:00:00, value: 5584
date: 2013-01-11 00:00:00, value: 4608
date: 2013-01-12 00:00:00, value: 2023

- Example 3:
Input (history):
date: 2013-06-23 00:00:00, value: 2077
date: 2013-06-24 00:00:00, value: 5493
date: 2013-06-25 00:00:00, value: 5674
date: 2013-06-26 00:00:00, value: 5559
date: 2013-06-27 00:00:00, value: 5252
date: 2013-06-28 00:00:00, value: 4226
date: 2013-06-29 00:00:00, value: 1737

Output (forecast):
date: 2013-06-30 00:00:00, value: 1731
date: 2013-07-01 00:00:00, value: 5025
date: 2013-07-02 00:00:00, value: 5292
date: 2013-07-03 00:00:00, value: 5266
date: 2013-07-04 00:00:00, value: 4330
date: 2013-07-05 00:00:00, value: 3763
date: 2013-07-06 00:00:00, value: 1522

[INPUT]",6.167866405816519,198.45823604476587,298.4041174749437
cot_few,textual,csv,36.562,1293.5120000000002,1749.184,6.147121906280518,0.0,0.123956,1.2009789999999998,0.1123554,0.9936887999999999,2686.0,145.2,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,meta/llama-3.3-70b,0.7,3,uniform,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4838.0, 5289.0, 5621.0, 4756.0, 4211.0, 5184.0, 4632.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.1331
- Seasonality Strength (STL): 0.129

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date,value
2012-07-08 00:00:00,1 7 3 5
2012-07-09 00:00:00,4 9 9 3
2012-07-10 00:00:00,5 3 4 3
2012-07-11 00:00:00,5 1 0 3
2012-07-12 00:00:00,4 8 4 4
2012-07-13 00:00:00,3 9 6 2
2012-07-14 00:00:00,1 6 5 8

Output (forecast):
date,value
2012-07-15 00:00:00,1 7 6 2
2012-07-16 00:00:00,4 8 2 7
2012-07-17 00:00:00,5 1 8 2
2012-07-18 00:00:00,5 1 6 2
2012-07-19 00:00:00,4 6 0 0
2012-07-20 00:00:00,3 9 1 3
2012-07-21 00:00:00,1 6 1 4

- Example 2:
Input (history):
date,value
2012-12-30 00:00:00,1 2 8 8
2012-12-31 00:00:00,1 9 5 0
2013-01-01 00:00:00,2 5 9 2
2013-01-02 00:00:00,4 0 2 2
2013-01-03 00:00:00,4 5 9 0
2013-01-04 00:00:00,4 2 2 3
2013-01-05 00:00:00,1 7 5 3

Output (forecast):
date,value
2013-01-06 00:00:00,1 8 7 8
2013-01-07 00:00:00,5 2 7 9
2013-01-08 00:00:00,5 4 9 9
2013-01-09 00:00:00,5 7 7 2
2013-01-10 00:00:00,5 5 8 4
2013-01-11 00:00:00,4 6 0 8
2013-01-12 00:00:00,2 0 2 3

- Example 3:
Input (history):
date,value
2013-06-23 00:00:00,2 0 7 7
2013-06-24 00:00:00,5 4 9 3
2013-06-25 00:00:00,5 6 7 4
2013-06-26 00:00:00,5 5 5 9
2013-06-27 00:00:00,5 2 5 2
2013-06-28 00:00:00,4 2 2 6
2013-06-29 00:00:00,1 7 3 7

Output (forecast):
date,value
2013-06-30 00:00:00,1 7 3 1
2013-07-01 00:00:00,5 0 2 5
2013-07-02 00:00:00,5 2 9 2
2013-07-03 00:00:00,5 2 6 6
2013-07-04 00:00:00,4 3 3 0
2013-07-05 00:00:00,3 7 6 3
2013-07-06 00:00:00,1 5 2 2

[INPUT]",0.33362254120487655,14.09965900296884,18.527689710268813
cot_few,textual,plain,35.378,1241.284,1741.8919999999998,5.76049485206604,0.0,0.12039819999999998,1.166511,0.10741719999999999,0.950013,2802.0,142.0,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,meta/llama-3.3-70b,0.7,3,uniform,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4911.0, 5566.0, 4321.0, 4708.0, 5099.0, 4754.0, 4200.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.1331
- Seasonality Strength (STL): 0.129

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date: 2012-07-08 00:00:00, value: 1 7 3 5
date: 2012-07-09 00:00:00, value: 4 9 9 3
date: 2012-07-10 00:00:00, value: 5 3 4 3
date: 2012-07-11 00:00:00, value: 5 1 0 3
date: 2012-07-12 00:00:00, value: 4 8 4 4
date: 2012-07-13 00:00:00, value: 3 9 6 2
date: 2012-07-14 00:00:00, value: 1 6 5 8

Output (forecast):
date: 2012-07-15 00:00:00, value: 1 7 6 2
date: 2012-07-16 00:00:00, value: 4 8 2 7
date: 2012-07-17 00:00:00, value: 5 1 8 2
date: 2012-07-18 00:00:00, value: 5 1 6 2
date: 2012-07-19 00:00:00, value: 4 6 0 0
date: 2012-07-20 00:00:00, value: 3 9 1 3
date: 2012-07-21 00:00:00, value: 1 6 1 4

- Example 2:
Input (history):
date: 2012-12-30 00:00:00, value: 1 2 8 8
date: 2012-12-31 00:00:00, value: 1 9 5 0
date: 2013-01-01 00:00:00, value: 2 5 9 2
date: 2013-01-02 00:00:00, value: 4 0 2 2
date: 2013-01-03 00:00:00, value: 4 5 9 0
date: 2013-01-04 00:00:00, value: 4 2 2 3
date: 2013-01-05 00:00:00, value: 1 7 5 3

Output (forecast):
date: 2013-01-06 00:00:00, value: 1 8 7 8
date: 2013-01-07 00:00:00, value: 5 2 7 9
date: 2013-01-08 00:00:00, value: 5 4 9 9
date: 2013-01-09 00:00:00, value: 5 7 7 2
date: 2013-01-10 00:00:00, value: 5 5 8 4
date: 2013-01-11 00:00:00, value: 4 6 0 8
date: 2013-01-12 00:00:00, value: 2 0 2 3

- Example 3:
Input (history):
date: 2013-06-23 00:00:00, value: 2 0 7 7
date: 2013-06-24 00:00:00, value: 5 4 9 3
date: 2013-06-25 00:00:00, value: 5 6 7 4
date: 2013-06-26 00:00:00, value: 5 5 5 9
date: 2013-06-27 00:00:00, value: 5 2 5 2
date: 2013-06-28 00:00:00, value: 4 2 2 6
date: 2013-06-29 00:00:00, value: 1 7 3 7

Output (forecast):
date: 2013-06-30 00:00:00, value: 1 7 3 1
date: 2013-07-01 00:00:00, value: 5 0 2 5
date: 2013-07-02 00:00:00, value: 5 2 9 2
date: 2013-07-03 00:00:00, value: 5 2 6 6
date: 2013-07-04 00:00:00, value: 4 3 3 0
date: 2013-07-05 00:00:00, value: 3 7 6 3
date: 2013-07-06 00:00:00, value: 1 5 2 2

[INPUT]",0.8762328457664669,37.278213556982564,42.797715055829805
few_shot,numeric,csv,5.57,212.86000000000004,262.83,5.921296262741089,0.0,0.12233000000000001,1.185227,0.1116836,0.9877476,2525.0,141.8,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,meta/llama-3.3-70b,0.7,3,uniform,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1762.0, 4827.0, 5182.0, 5162.0, 4600.0, 3913.0, 1614.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.1331
- Seasonality Strength (STL): 0.129

[EXAMPLES]
- Example 1:
Input (history):
date,value
2012-07-08 00:00:00,1735
2012-07-09 00:00:00,4993
2012-07-10 00:00:00,5343
2012-07-11 00:00:00,5103
2012-07-12 00:00:00,4844
2012-07-13 00:00:00,3962
2012-07-14 00:00:00,1658

Output (forecast):
date,value
2012-07-15 00:00:00,1762
2012-07-16 00:00:00,4827
2012-07-17 00:00:00,5182
2012-07-18 00:00:00,5162
2012-07-19 00:00:00,4600
2012-07-20 00:00:00,3913
2012-07-21 00:00:00,1614

- Example 2:
Input (history):
date,value
2012-12-30 00:00:00,1288
2012-12-31 00:00:00,1950
2013-01-01 00:00:00,2592
2013-01-02 00:00:00,4022
2013-01-03 00:00:00,4590
2013-01-04 00:00:00,4223
2013-01-05 00:00:00,1753

Output (forecast):
date,value
2013-01-06 00:00:00,1878
2013-01-07 00:00:00,5279
2013-01-08 00:00:00,5499
2013-01-09 00:00:00,5772
2013-01-10 00:00:00,5584
2013-01-11 00:00:00,4608
2013-01-12 00:00:00,2023

- Example 3:
Input (history):
date,value
2013-06-23 00:00:00,2077
2013-06-24 00:00:00,5493
2013-06-25 00:00:00,5674
2013-06-26 00:00:00,5559
2013-06-27 00:00:00,5252
2013-06-28 00:00:00,4226
2013-06-29 00:00:00,1737

Output (forecast):
date,value
2013-06-30 00:00:00,1731
2013-07-01 00:00:00,5025
2013-07-02 00:00:00,5292
2013-07-03 00:00:00,5266
2013-07-04 00:00:00,4330
2013-07-05 00:00:00,3763
2013-07-06 00:00:00,1522

[INPUT]",0.0,1.4210854715202004e-14,0.0
few_shot,numeric,plain,38.553999999999995,1282.284,1761.0080000000003,6.134000539779663,0.0,0.1269496,1.229985,0.1107072,0.9791146,2642.0,145.2,Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,meta/llama-3.3-70b,0.7,3,uniform,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4839.0, 5211.0, 5038.0, 4674.0, 1945.0, 2156.0, 5882.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.1331
- Seasonality Strength (STL): 0.129

[EXAMPLES]
- Example 1:
Input (history):
date: 2012-07-08 00:00:00, value: 1735
date: 2012-07-09 00:00:00, value: 4993
date: 2012-07-10 00:00:00, value: 5343
date: 2012-07-11 00:00:00, value: 5103
date: 2012-07-12 00:00:00, value: 4844
date: 2012-07-13 00:00:00, value: 3962
date: 2012-07-14 00:00:00, value: 1658

Output (forecast):
date: 2012-07-15 00:00:00, value: 1762
date: 2012-07-16 00:00:00, value: 4827
date: 2012-07-17 00:00:00, value: 5182
date: 2012-07-18 00:00:00, value: 5162
date: 2012-07-19 00:00:00, value: 4600
date: 2012-07-20 00:00:00, value: 3913
date: 2012-07-21 00:00:00, value: 1614

- Example 2:
Input (history):
date: 2012-12-30 00:00:00, value: 1288
date: 2012-12-31 00:00:00, value: 1950
date: 2013-01-01 00:00:00, value: 2592
date: 2013-01-02 00:00:00, value: 4022
date: 2013-01-03 00:00:00, value: 4590
date: 2013-01-04 00:00:00, value: 4223
date: 2013-01-05 00:00:00, value: 1753

Output (forecast):
date: 2013-01-06 00:00:00, value: 1878
date: 2013-01-07 00:00:00, value: 5279
date: 2013-01-08 00:00:00, value: 5499
date: 2013-01-09 00:00:00, value: 5772
date: 2013-01-10 00:00:00, value: 5584
date: 2013-01-11 00:00:00, value: 4608
date: 2013-01-12 00:00:00, value: 2023

- Example 3:
Input (history):
date: 2013-06-23 00:00:00, value: 2077
date: 2013-06-24 00:00:00, value: 5493
date: 2013-06-25 00:00:00, value: 5674
date: 2013-06-26 00:00:00, value: 5559
date: 2013-06-27 00:00:00, value: 5252
date: 2013-06-28 00:00:00, value: 4226
date: 2013-06-29 00:00:00, value: 1737

Output (forecast):
date: 2013-06-30 00:00:00, value: 1731
date: 2013-07-01 00:00:00, value: 5025
date: 2013-07-02 00:00:00, value: 5292
date: 2013-07-03 00:00:00, value: 5266
date: 2013-07-04 00:00:00, value: 4330
date: 2013-07-05 00:00:00, value: 3763
date: 2013-07-06 00:00:00, value: 1522

[INPUT]",4.3022094323730915,172.83014429201867,187.18515575226576
