Prompt Type,Series Type,Format,sMAPE Mean,MAE Mean,RMSE Mean,Inference Time (s) Mean,Financial Cost ($) Mean,CarbonTracker CO2 (g) Mean,CarbonTracker Energy Consumption (Wh) Mean,Eco2AI CO2 (g) Mean,Eco2AI Energy Consumption (Wh) Mean,Input Tokens Mean,Output Tokens Mean,Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Examples,Sampling Strategy,Actual Values,Predicted Values,Prompt,sMAPE SEM,MAE SEM,RMSE SEM
cot,numeric,csv,8.572,9.292,9.690000000000001,6.165574026107788,0.0,0.45556159999999996,1.0237344,0.0926596,0.8194982,10381.0,241.0,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,gemma-3-27b-it,0.7,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[113.754, 111.666, 112.861, 114.281, 115.621, 114.989, 112.074]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",0.5798051396805655,0.6540061161793521,0.6844413780595093
cot,numeric,plain,7.928,8.596,9.45,6.404569959640503,0.0,0.4971,1.1170788,0.103131,0.9121056,12561.0,241.0,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,gemma-3-27b-it,0.7,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[111.374, 113.594, 116.884, 118.134, 115.029, 114.439, 116.763]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",1.0332202088615958,1.1520486100855292,1.0327778076624228
cot,textual,csv,155.876,90.968,91.024,6.107065486907959,0.0,0.4586654,1.0307084,0.0874684,0.7735836,12040.0,234.0,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,gemma-3-27b-it,0.7,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[10.543, 11.782, 12.145, 11.998, 12.654, 13.211, 12.876]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",1.7065655569007618,0.573423054995177,0.566944441722469
cot,textual,plain,8.062000000000001,8.72,9.314,6.6411536693572994,0.0,0.5190932,1.1665018,0.1088486,0.9626746,14220.0,239.6,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,gemma-3-27b-it,0.7,0,,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[111.753, 114.901, 116.832, 114.028, 110.295, 111.044, 111.829]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",0.4935625593579804,0.5603213363776182,0.5910719076389944
cot_few,numeric,csv,8.7,9.441999999999998,9.744,6.453849935531617,0.0,0.48949319999999996,1.0999843999999999,0.0990414,0.8759370000000001,11624.0,240.8,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,gemma-3-27b-it,0.7,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[114.573, 113.121, 113.871, 116.006, 115.148, 112.948, 113.234]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date,value
2025-02-14 00:00:00,118.353
2025-02-15 00:00:00,112.923
2025-02-16 00:00:00,109.214
2025-02-17 00:00:00,114.754
2025-02-18 00:00:00,115.661
2025-02-19 00:00:00,118.682
2025-02-20 00:00:00,122.667

Output (forecast):
date,value
2025-02-21 00:00:00,122.096
2025-02-22 00:00:00,118.001
2025-02-23 00:00:00,111.916
2025-02-24 00:00:00,109.57
2025-02-25 00:00:00,107.978
2025-02-26 00:00:00,109.619
2025-02-27 00:00:00,109.491

- Example 2:
Input (history):
date,value
2025-08-08 00:00:00,105.604
2025-08-09 00:00:00,101.325
2025-08-10 00:00:00,97.763
2025-08-11 00:00:00,100.23
2025-08-12 00:00:00,100.147
2025-08-13 00:00:00,104.24
2025-08-14 00:00:00,103.289

Output (forecast):
date,value
2025-08-15 00:00:00,101.259
2025-08-16 00:00:00,98.411
2025-08-17 00:00:00,97.962
2025-08-18 00:00:00,100.39
2025-08-19 00:00:00,101.24
2025-08-20 00:00:00,105.024
2025-08-21 00:00:00,104.731

- Example 3:
Input (history):
date,value
2026-01-30 00:00:00,123.36
2026-01-31 00:00:00,120.505
2026-02-01 00:00:00,126.566
2026-02-02 00:00:00,124.353
2026-02-03 00:00:00,121.116
2026-02-04 00:00:00,119.228
2026-02-05 00:00:00,122.434

Output (forecast):
date,value
2026-02-06 00:00:00,123.632
2026-02-07 00:00:00,119.613
2026-02-08 00:00:00,118.519
2026-02-09 00:00:00,118.849
2026-02-10 00:00:00,116.584
2026-02-11 00:00:00,109.457
2026-02-12 00:00:00,109.162

[INPUT]",0.6265620480048245,0.7081694712425832,0.7483154415084593
cot_few,numeric,plain,10.686,11.738,12.344,6.688153600692749,0.0,0.522267,1.1736338,0.1095536,0.968911,14032.0,240.2,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,gemma-3-27b-it,0.7,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[113.754, 114.042, 118.206, 121.122, 122.531, 119.975, 117.695]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date: 2025-02-14 00:00:00, value: 118.353
date: 2025-02-15 00:00:00, value: 112.923
date: 2025-02-16 00:00:00, value: 109.214
date: 2025-02-17 00:00:00, value: 114.754
date: 2025-02-18 00:00:00, value: 115.661
date: 2025-02-19 00:00:00, value: 118.682
date: 2025-02-20 00:00:00, value: 122.667

Output (forecast):
date: 2025-02-21 00:00:00, value: 122.096
date: 2025-02-22 00:00:00, value: 118.001
date: 2025-02-23 00:00:00, value: 111.916
date: 2025-02-24 00:00:00, value: 109.57
date: 2025-02-25 00:00:00, value: 107.978
date: 2025-02-26 00:00:00, value: 109.619
date: 2025-02-27 00:00:00, value: 109.491

- Example 2:
Input (history):
date: 2025-08-08 00:00:00, value: 105.604
date: 2025-08-09 00:00:00, value: 101.325
date: 2025-08-10 00:00:00, value: 97.763
date: 2025-08-11 00:00:00, value: 100.23
date: 2025-08-12 00:00:00, value: 100.147
date: 2025-08-13 00:00:00, value: 104.24
date: 2025-08-14 00:00:00, value: 103.289

Output (forecast):
date: 2025-08-15 00:00:00, value: 101.259
date: 2025-08-16 00:00:00, value: 98.411
date: 2025-08-17 00:00:00, value: 97.962
date: 2025-08-18 00:00:00, value: 100.39
date: 2025-08-19 00:00:00, value: 101.24
date: 2025-08-20 00:00:00, value: 105.024
date: 2025-08-21 00:00:00, value: 104.731

- Example 3:
Input (history):
date: 2026-01-30 00:00:00, value: 123.36
date: 2026-01-31 00:00:00, value: 120.505
date: 2026-02-01 00:00:00, value: 126.566
date: 2026-02-02 00:00:00, value: 124.353
date: 2026-02-03 00:00:00, value: 121.116
date: 2026-02-04 00:00:00, value: 119.228
date: 2026-02-05 00:00:00, value: 122.434

Output (forecast):
date: 2026-02-06 00:00:00, value: 123.632
date: 2026-02-07 00:00:00, value: 119.613
date: 2026-02-08 00:00:00, value: 118.519
date: 2026-02-09 00:00:00, value: 118.849
date: 2026-02-10 00:00:00, value: 116.584
date: 2026-02-11 00:00:00, value: 109.457
date: 2026-02-12 00:00:00, value: 109.162

[INPUT]",0.6942953262121242,0.8126462945217925,0.8538711846642912
cot_few,textual,csv,158.988,91.98400000000001,92.03200000000001,6.363415718078613,0.0,0.48696140000000004,1.0942954,0.095323,0.8430519999999999,13484.0,232.2,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,gemma-3-27b-it,0.7,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[10.154, 9.732, 11.278, 12.543, 14.219, 13.567, 10.482]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date,value
2025-02-14 00:00:00,1 1 8 . 3 5 3
2025-02-15 00:00:00,1 1 2 . 9 2 3
2025-02-16 00:00:00,1 0 9 . 2 1 4
2025-02-17 00:00:00,1 1 4 . 7 5 4
2025-02-18 00:00:00,1 1 5 . 6 6 1
2025-02-19 00:00:00,1 1 8 . 6 8 2
2025-02-20 00:00:00,1 2 2 . 6 6 7

Output (forecast):
date,value
2025-02-21 00:00:00,1 2 2 . 0 9 6
2025-02-22 00:00:00,1 1 8 . 0 0 1
2025-02-23 00:00:00,1 1 1 . 9 1 6
2025-02-24 00:00:00,1 0 9 . 5 7
2025-02-25 00:00:00,1 0 7 . 9 7 8
2025-02-26 00:00:00,1 0 9 . 6 1 9
2025-02-27 00:00:00,1 0 9 . 4 9 1

- Example 2:
Input (history):
date,value
2025-08-08 00:00:00,1 0 5 . 6 0 4
2025-08-09 00:00:00,1 0 1 . 3 2 5
2025-08-10 00:00:00,9 7 . 7 6 3
2025-08-11 00:00:00,1 0 0 . 2 3
2025-08-12 00:00:00,1 0 0 . 1 4 7
2025-08-13 00:00:00,1 0 4 . 2 4
2025-08-14 00:00:00,1 0 3 . 2 8 9

Output (forecast):
date,value
2025-08-15 00:00:00,1 0 1 . 2 5 9
2025-08-16 00:00:00,9 8 . 4 1 1
2025-08-17 00:00:00,9 7 . 9 6 2
2025-08-18 00:00:00,1 0 0 . 3 9
2025-08-19 00:00:00,1 0 1 . 2 4
2025-08-20 00:00:00,1 0 5 . 0 2 4
2025-08-21 00:00:00,1 0 4 . 7 3 1

- Example 3:
Input (history):
date,value
2026-01-30 00:00:00,1 2 3 . 3 6
2026-01-31 00:00:00,1 2 0 . 5 0 5
2026-02-01 00:00:00,1 2 6 . 5 6 6
2026-02-02 00:00:00,1 2 4 . 3 5 3
2026-02-03 00:00:00,1 2 1 . 1 1 6
2026-02-04 00:00:00,1 1 9 . 2 2 8
2026-02-05 00:00:00,1 2 2 . 4 3 4

Output (forecast):
date,value
2026-02-06 00:00:00,1 2 3 . 6 3 2
2026-02-07 00:00:00,1 1 9 . 6 1 3
2026-02-08 00:00:00,1 1 8 . 5 1 9
2026-02-09 00:00:00,1 1 8 . 8 4 9
2026-02-10 00:00:00,1 1 6 . 5 8 4
2026-02-11 00:00:00,1 0 9 . 4 5 7
2026-02-12 00:00:00,1 0 9 . 1 6 2

[INPUT]",1.3973703875494135,0.45286421806099725,0.4515573053334424
cot_few,textual,plain,6.104,6.5280000000000005,7.036,7.284286642074585,0.0,0.5655584,1.2709182,0.1128716,0.9982556,15892.0,251.0,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,gemma-3-27b-it,0.7,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[110.5, 110.3, 111.2, 112.8, 114.7, 114.2, 113.6]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date: 2025-02-14 00:00:00, value: 1 1 8 . 3 5 3
date: 2025-02-15 00:00:00, value: 1 1 2 . 9 2 3
date: 2025-02-16 00:00:00, value: 1 0 9 . 2 1 4
date: 2025-02-17 00:00:00, value: 1 1 4 . 7 5 4
date: 2025-02-18 00:00:00, value: 1 1 5 . 6 6 1
date: 2025-02-19 00:00:00, value: 1 1 8 . 6 8 2
date: 2025-02-20 00:00:00, value: 1 2 2 . 6 6 7

Output (forecast):
date: 2025-02-21 00:00:00, value: 1 2 2 . 0 9 6
date: 2025-02-22 00:00:00, value: 1 1 8 . 0 0 1
date: 2025-02-23 00:00:00, value: 1 1 1 . 9 1 6
date: 2025-02-24 00:00:00, value: 1 0 9 . 5 7
date: 2025-02-25 00:00:00, value: 1 0 7 . 9 7 8
date: 2025-02-26 00:00:00, value: 1 0 9 . 6 1 9
date: 2025-02-27 00:00:00, value: 1 0 9 . 4 9 1

- Example 2:
Input (history):
date: 2025-08-08 00:00:00, value: 1 0 5 . 6 0 4
date: 2025-08-09 00:00:00, value: 1 0 1 . 3 2 5
date: 2025-08-10 00:00:00, value: 9 7 . 7 6 3
date: 2025-08-11 00:00:00, value: 1 0 0 . 2 3
date: 2025-08-12 00:00:00, value: 1 0 0 . 1 4 7
date: 2025-08-13 00:00:00, value: 1 0 4 . 2 4
date: 2025-08-14 00:00:00, value: 1 0 3 . 2 8 9

Output (forecast):
date: 2025-08-15 00:00:00, value: 1 0 1 . 2 5 9
date: 2025-08-16 00:00:00, value: 9 8 . 4 1 1
date: 2025-08-17 00:00:00, value: 9 7 . 9 6 2
date: 2025-08-18 00:00:00, value: 1 0 0 . 3 9
date: 2025-08-19 00:00:00, value: 1 0 1 . 2 4
date: 2025-08-20 00:00:00, value: 1 0 5 . 0 2 4
date: 2025-08-21 00:00:00, value: 1 0 4 . 7 3 1

- Example 3:
Input (history):
date: 2026-01-30 00:00:00, value: 1 2 3 . 3 6
date: 2026-01-31 00:00:00, value: 1 2 0 . 5 0 5
date: 2026-02-01 00:00:00, value: 1 2 6 . 5 6 6
date: 2026-02-02 00:00:00, value: 1 2 4 . 3 5 3
date: 2026-02-03 00:00:00, value: 1 2 1 . 1 1 6
date: 2026-02-04 00:00:00, value: 1 1 9 . 2 2 8
date: 2026-02-05 00:00:00, value: 1 2 2 . 4 3 4

Output (forecast):
date: 2026-02-06 00:00:00, value: 1 2 3 . 6 3 2
date: 2026-02-07 00:00:00, value: 1 1 9 . 6 1 3
date: 2026-02-08 00:00:00, value: 1 1 8 . 5 1 9
date: 2026-02-09 00:00:00, value: 1 1 8 . 8 4 9
date: 2026-02-10 00:00:00, value: 1 1 6 . 5 8 4
date: 2026-02-11 00:00:00, value: 1 0 9 . 4 5 7
date: 2026-02-12 00:00:00, value: 1 0 9 . 1 6 2

[INPUT]",0.5760347211757292,0.6380862010731777,0.65553489609631
few_shot,numeric,csv,8.714,9.45,9.762,6.419737339019775,0.0,0.4801778,1.0790516,0.0972962,0.8605022,11505.0,240.6,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,gemma-3-27b-it,0.7,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[113.75, 114.687, 114.534, 114.069, 112.241, 111.658, 111.519]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[EXAMPLES]
- Example 1:
Input (history):
date,value
2025-02-14 00:00:00,118.353
2025-02-15 00:00:00,112.923
2025-02-16 00:00:00,109.214
2025-02-17 00:00:00,114.754
2025-02-18 00:00:00,115.661
2025-02-19 00:00:00,118.682
2025-02-20 00:00:00,122.667

Output (forecast):
date,value
2025-02-21 00:00:00,122.096
2025-02-22 00:00:00,118.001
2025-02-23 00:00:00,111.916
2025-02-24 00:00:00,109.57
2025-02-25 00:00:00,107.978
2025-02-26 00:00:00,109.619
2025-02-27 00:00:00,109.491

- Example 2:
Input (history):
date,value
2025-08-08 00:00:00,105.604
2025-08-09 00:00:00,101.325
2025-08-10 00:00:00,97.763
2025-08-11 00:00:00,100.23
2025-08-12 00:00:00,100.147
2025-08-13 00:00:00,104.24
2025-08-14 00:00:00,103.289

Output (forecast):
date,value
2025-08-15 00:00:00,101.259
2025-08-16 00:00:00,98.411
2025-08-17 00:00:00,97.962
2025-08-18 00:00:00,100.39
2025-08-19 00:00:00,101.24
2025-08-20 00:00:00,105.024
2025-08-21 00:00:00,104.731

- Example 3:
Input (history):
date,value
2026-01-30 00:00:00,123.36
2026-01-31 00:00:00,120.505
2026-02-01 00:00:00,126.566
2026-02-02 00:00:00,124.353
2026-02-03 00:00:00,121.116
2026-02-04 00:00:00,119.228
2026-02-05 00:00:00,122.434

Output (forecast):
date,value
2026-02-06 00:00:00,123.632
2026-02-07 00:00:00,119.613
2026-02-08 00:00:00,118.519
2026-02-09 00:00:00,118.849
2026-02-10 00:00:00,116.584
2026-02-11 00:00:00,109.457
2026-02-12 00:00:00,109.162

[INPUT]",0.2100618956403088,0.24211567483333243,0.28995516894858064
few_shot,numeric,plain,8.8,9.55,10.084,6.579572153091431,0.0,0.5034894,1.1314372000000001,0.1022184,0.9040354,13913.0,239.4,Carbon,2025-02-14 00:00:00,2026-02-12 00:00:00,7,gemma-3-27b-it,0.7,3,uniform,"[108.384965034, 104.169610454, 101.285553346, 105.2188019046, 103.9162523781, 101.268491208, 102.72191958]","[110.743, 111.572, 113.316, 114.889, 115.244, 114.101, 112.418]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 104.3048
- Median: 102.4395
- Standard Deviation: 7.6184
- Minimum Value: 90.279
- Maximum Value: 126.566
- First Quartile (Q1): 98.88
- Third Quartile (Q3): 109.2462
- Trend Strength (STL): 0.9659
- Seasonality Strength (STL): 0.6648

[EXAMPLES]
- Example 1:
Input (history):
date: 2025-02-14 00:00:00, value: 118.353
date: 2025-02-15 00:00:00, value: 112.923
date: 2025-02-16 00:00:00, value: 109.214
date: 2025-02-17 00:00:00, value: 114.754
date: 2025-02-18 00:00:00, value: 115.661
date: 2025-02-19 00:00:00, value: 118.682
date: 2025-02-20 00:00:00, value: 122.667

Output (forecast):
date: 2025-02-21 00:00:00, value: 122.096
date: 2025-02-22 00:00:00, value: 118.001
date: 2025-02-23 00:00:00, value: 111.916
date: 2025-02-24 00:00:00, value: 109.57
date: 2025-02-25 00:00:00, value: 107.978
date: 2025-02-26 00:00:00, value: 109.619
date: 2025-02-27 00:00:00, value: 109.491

- Example 2:
Input (history):
date: 2025-08-08 00:00:00, value: 105.604
date: 2025-08-09 00:00:00, value: 101.325
date: 2025-08-10 00:00:00, value: 97.763
date: 2025-08-11 00:00:00, value: 100.23
date: 2025-08-12 00:00:00, value: 100.147
date: 2025-08-13 00:00:00, value: 104.24
date: 2025-08-14 00:00:00, value: 103.289

Output (forecast):
date: 2025-08-15 00:00:00, value: 101.259
date: 2025-08-16 00:00:00, value: 98.411
date: 2025-08-17 00:00:00, value: 97.962
date: 2025-08-18 00:00:00, value: 100.39
date: 2025-08-19 00:00:00, value: 101.24
date: 2025-08-20 00:00:00, value: 105.024
date: 2025-08-21 00:00:00, value: 104.731

- Example 3:
Input (history):
date: 2026-01-30 00:00:00, value: 123.36
date: 2026-01-31 00:00:00, value: 120.505
date: 2026-02-01 00:00:00, value: 126.566
date: 2026-02-02 00:00:00, value: 124.353
date: 2026-02-03 00:00:00, value: 121.116
date: 2026-02-04 00:00:00, value: 119.228
date: 2026-02-05 00:00:00, value: 122.434

Output (forecast):
date: 2026-02-06 00:00:00, value: 123.632
date: 2026-02-07 00:00:00, value: 119.613
date: 2026-02-08 00:00:00, value: 118.519
date: 2026-02-09 00:00:00, value: 118.849
date: 2026-02-10 00:00:00, value: 116.584
date: 2026-02-11 00:00:00, value: 109.457
date: 2026-02-12 00:00:00, value: 109.162

[INPUT]",0.46225534069386365,0.5289706986213886,0.49607055949733586
