Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-120b,0.7,numeric,zero_shot,0,,plain,77.71,2501.43,2908.23,0.0,0.007145,0.069227,0.016901,0.149479,8267,168,1.146836519241333,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1492.0, 1520.0, 1555.0, 1586.0, 1618.0, 1647.0, 1682.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-120b,0.7,numeric,zero_shot,0,,plain,75.61,2462.43,2880.6,0.0,0.007541,0.073059,0.013302,0.117646,8267,150,1.0281555652618408,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1582.0, 1590.0, 1601.0, 1615.0, 1629.0, 1638.0, 1646.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-120b,0.7,numeric,zero_shot,0,,plain,35.04,1208.0,1620.2,0.0,0.008278,0.080207,0.014262,0.126138,8267,166,1.110358476638794,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4620.0, 4595.0, 4563.0, 4522.0, 4471.0, 4414.0, 4359.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-120b,0.7,numeric,zero_shot,0,,plain,37.6,1433.43,2154.17,0.0,0.006266,0.060706,0.013952,0.12339,8267,150,1.0082755088806152,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[5114.0, 5258.0, 5336.0, 5452.0, 5580.0, 5695.0, 5807.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-120b,0.7,numeric,zero_shot,0,,plain,35.09,1244.86,1823.11,0.0,0.008203,0.079474,0.012277,0.108579,8267,151,1.0183944702148438,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4600.0, 4700.0, 4800.0, 4900.0, 5000.0, 5100.0, 5200.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-120b,0.7,textual,zero_shot,0,,plain,199.59,4026.57,4320.85,0.0,0.033128,0.320967,0.029879,0.26425,10087,144,2.997565031051636,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4.0, 7.0, 2.0, 5.0, 1.0, 0.0, 3.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-120b,0.7,textual,zero_shot,0,,plain,199.78,4028.86,4323.16,0.0,0.011778,0.114112,0.014906,0.131832,10087,159,1.3794939517974854,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[2.0, 1.0, 5.0, 0.0, -9.0, 7.0, 0.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-120b,0.7,textual,zero_shot,0,,plain,199.58,4025.86,4319.89,0.0,0.009357,0.090654,0.013754,0.121644,10087,159,1.1147644519805908,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[5.0, 2.0, 9.0, 4.0, 1.0, 6.0, 0.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-120b,0.7,textual,zero_shot,0,,plain,199.47,4026.6,4321.46,0.0,0.011883,0.115127,0.017017,0.150502,10087,192,1.7751803398132324,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[-0.004, 1.2543, 5.23, 0.001, 2.4e-06, 5.0, 10.3]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-120b,0.7,textual,zero_shot,0,,plain,56.65,1946.57,2049.98,0.0,0.003969,0.038452,0.011737,0.103807,10087,134,0.9223928451538086,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[2585.0, 2631.0, 2678.0, 2724.0, 2770.0, 2817.0, 2863.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-120b,0.7,numeric,zero_shot,0,,csv,160.65,3835.57,4216.86,0.0,0.037986,0.368035,0.023787,0.210375,6086,188,3.8499255180358887,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[5.0, 6.0, 2.0, 1.0, 3.0, 5000.0, 5204.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-120b,0.7,numeric,zero_shot,0,,csv,199.58,4026.71,4321.03,0.0,0.013819,0.133893,0.013764,0.121731,6086,152,1.802940845489502,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1.0, 2.0, 5.0, 4.0, 3.0, 0.0, 6.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-120b,0.7,numeric,zero_shot,0,,csv,199.91,4029.43,4323.72,0.0,0.011454,0.11098,0.017131,0.15151,6086,156,1.5004253387451172,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[0.0, 0.0, 0.0, -1.0, 0.0, 1.0, 2.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-120b,0.7,numeric,zero_shot,0,,csv,199.48,4025.57,4319.86,0.0,0.010124,0.09809,0.016433,0.145333,6086,141,1.4207053184509275,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[8.0, 5.0, 6.0, 5.0, 4.0, 0.0, 1.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-120b,0.7,numeric,zero_shot,0,,csv,198.84,4022.13,4317.58,0.0,0.012622,0.122289,0.014588,0.129015,6086,159,1.9537930488586424,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[0.1, 2.0, 3.0, 5.0, 9.0, 14.0, 20.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-120b,0.7,textual,zero_shot,0,,csv,36.45,1651.86,2060.58,0.0,0.02765,0.267897,0.032525,0.28766,7906,180,2.654815196990967,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1234.0, 5678.0, 4321.0, 8765.0, 3456.0, 7890.0, 2345.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,openai/gpt-oss-120b,0.7,textual,zero_shot,0,,csv,199.47,4026.0,4320.58,0.0,0.008237,0.079805,0.014455,0.127838,7906,160,1.0661873817443848,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4.0, 3.0, 5.0, 2.0, 1.0, 6.0, 5.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
