Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,meta/llama-3.3-70b,0.7,numeric,zero_shot,0,,plain,59.33,2052.0,2510.22,0.0,0.154706,1.498913,0.134838,1.192524,2158,157,7.726395845413208,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4758.0, 5121.0, 4935.0, 4069.0, 1642.0, 2061.0, 5534.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.1331
- Seasonality Strength (STL): 0.129

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,meta/llama-3.3-70b,0.7,numeric,zero_shot,0,,plain,22.28,783.29,1293.08,0.0,0.126809,1.228621,0.116726,1.032343,2158,156,6.25761866569519,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[5011.0, 5498.0, 5689.0, 5821.0, 5215.0, 4567.0, 1890.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.1331
- Seasonality Strength (STL): 0.129

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,meta/llama-3.3-70b,0.7,numeric,zero_shot,0,,plain,53.98,2101.71,2583.83,0.0,0.119047,1.153416,0.115877,1.024835,2158,156,6.203118801116943,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4931.0, 6182.0, 5578.0, 4699.0, 1947.0, 5865.0, 6214.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.1331
- Seasonality Strength (STL): 0.129

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,meta/llama-3.3-70b,0.7,numeric,zero_shot,0,,plain,55.17,1920.14,2471.6,0.0,0.123845,1.199904,0.117573,1.039837,2158,157,6.213487148284912,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4621.0, 5089.0, 5448.0, 4719.0, 1845.0, 2154.0, 5829.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.1331
- Seasonality Strength (STL): 0.129

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,meta/llama-3.3-70b,0.7,numeric,zero_shot,0,,plain,31.3,1215.29,1459.49,0.0,0.128843,1.248332,0.120053,1.061765,2158,160,6.342972755432129,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4861.0, 6185.0, 6429.0, 6288.0, 5711.0, 5034.0, 2207.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.1331
- Seasonality Strength (STL): 0.129

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,meta/llama-3.3-70b,0.7,textual,zero_shot,0,,plain,36.8,1316.14,1815.83,0.0,0.161323,1.56302,0.140517,1.242754,2158,157,7.450404644012451,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[5018.0, 4881.0, 4276.0, 5557.0, 4784.0, 5349.0, 4642.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.1331
- Seasonality Strength (STL): 0.129

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,meta/llama-3.3-70b,0.7,textual,zero_shot,0,,plain,41.85,1616.71,2059.56,0.0,0.125258,1.213597,0.119607,1.057821,2158,157,6.271598100662232,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[5121.0, 6024.0, 4708.0, 5670.0, 4259.0, 5826.0, 5195.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.1331
- Seasonality Strength (STL): 0.129

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,meta/llama-3.3-70b,0.7,textual,zero_shot,0,,plain,35.1,1203.86,1629.42,0.0,0.129741,1.257032,0.120797,1.068351,2158,160,6.35001015663147,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4631.0, 4219.0, 4918.0, 4444.0, 4785.0, 4012.0, 4376.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.1331
- Seasonality Strength (STL): 0.129

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,meta/llama-3.3-70b,0.7,textual,zero_shot,0,,plain,37.41,1356.43,1851.73,0.0,0.130018,1.259716,0.121268,1.072509,2158,160,6.335380554199219,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4910.0, 5559.0, 4748.0, 5136.0, 4371.0, 5285.0, 4922.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.1331
- Seasonality Strength (STL): 0.129

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,meta/llama-3.3-70b,0.7,textual,zero_shot,0,,plain,38.26,1403.71,1791.71,0.0,0.130218,1.261648,0.121072,1.070783,2158,160,6.370817422866821,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4451.0, 5328.0, 6190.0, 4278.0, 5139.0, 5842.0, 4736.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.1331
- Seasonality Strength (STL): 0.129

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,meta/llama-3.3-70b,0.7,numeric,zero_shot,0,,csv,33.14,1193.86,1665.6,0.0,0.147448,1.428593,0.11391,1.007437,2157,143,6.937132120132446,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1782.0, 2085.0, 5419.0, 5938.0, 5791.0, 5114.0, 4466.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.1331
- Seasonality Strength (STL): 0.129

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,meta/llama-3.3-70b,0.7,numeric,zero_shot,0,,csv,64.8,2510.91,2751.33,0.0,0.14108,1.36689,0.11518,1.018669,2157,178,6.975370168685913,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4941.569, 2054.151, 2238.461, 6092.351, 6321.911, 6359.611, 5735.551]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.1331
- Seasonality Strength (STL): 0.129

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,meta/llama-3.3-70b,0.7,numeric,zero_shot,0,,csv,26.83,995.86,1325.01,0.0,0.133235,1.290884,0.101012,0.893366,2157,157,6.2565248012542725,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1842.0, 2081.0, 5534.0, 6289.0, 6132.0, 5125.0, 2198.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.1331
- Seasonality Strength (STL): 0.129

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,meta/llama-3.3-70b,0.7,numeric,zero_shot,0,,csv,25.33,958.8,1279.45,0.0,0.125123,1.212287,0.120312,1.06406,2157,156,6.206364393234253,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1821.45, 2167.19, 5738.51, 6119.23, 6245.67, 4932.11, 2089.85]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.1331
- Seasonality Strength (STL): 0.129

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,meta/llama-3.3-70b,0.7,numeric,zero_shot,0,,csv,21.56,688.71,922.32,0.0,0.128342,1.24348,0.120234,1.06337,2157,157,6.250693321228027,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1942.0, 5481.0, 5948.0, 5829.0, 5124.0, 2245.0, 2366.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.1331
- Seasonality Strength (STL): 0.129

[INPUT]"
