Prompt Type,Series Type,Format,sMAPE Mean,MAE Mean,RMSE Mean,Inference Time (s) Mean,Financial Cost ($) Mean,CarbonTracker CO2 (g) Mean,CarbonTracker Energy Consumption (Wh) Mean,Eco2AI CO2 (g) Mean,Eco2AI Energy Consumption (Wh) Mean,Input Tokens Mean,Output Tokens Mean,Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Examples,Sampling Strategy,Actual Values,Predicted Values,Prompt,sMAPE SEM,MAE SEM,RMSE SEM
cot,numeric,csv,35.152,1245.458,1368.604,31.112493228912353,0.0,0.0,0.0,8.900000000000001e-05,0.0007882,6226.0,3228.4,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gpt-5-nano-2025-08-07,1,0,,"[4194, 3614, 3116, 2503, 2568, 2876, 2539]","[4300.0, 4400.0, 4500.0, 4400.0, 4350.0, 4250.0, 4300.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87072.8187
- Median: 39083.5
- Standard Deviation: 107590.7213
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 15962.25
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7753

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",1.8951263810099837,85.7474385273403,72.64198445802536
cot,numeric,plain,42.376,1608.002,1771.282,23.648198699951173,0.0,0.0,0.0,6.78e-05,0.0006006,8407.0,2511.6,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gpt-5-nano-2025-08-07,1,0,,"[4194, 3614, 3116, 2503, 2568, 2876, 2539]","[4300.0, 4350.0, 4400.0, 4450.0, 4500.0, 4550.0, 4600.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87072.8187
- Median: 39083.5
- Standard Deviation: 107590.7213
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 15962.25
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7753

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",3.813686667779617,195.01954182594108,198.12650558166112
cot,textual,csv,159.51399999999998,72007.708,72100.988,29.90615749359131,0.0,0.0,0.0,8.56e-05,0.000759,8864.0,3316.6,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gpt-5-nano-2025-08-07,1,0,,"[4194, 3614, 3116, 2503, 2568, 2876, 2539]","[87072.8187, 87072.8187, 87072.8187, 87072.8187, 87072.8187, 87072.8187, 87072.8187]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87072.8187
- Median: 39083.5
- Standard Deviation: 107590.7213
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 15962.25
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7753

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",27.61437281561904,17614.908186093508,17618.510897557546
cot,textual,plain,101.80799999999999,34725.229999999996,34796.083999999995,30.814629125595093,0.0,0.0,0.0,8.82e-05,0.0007798,11045.0,3622.8,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gpt-5-nano-2025-08-07,1,0,,"[4194, 3614, 3116, 2503, 2568, 2876, 2539]","[5000.0, 4950.0, 5050.0, 4980.0, 5020.0, 4990.0, 5010.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87072.8187
- Median: 39083.5
- Standard Deviation: 107590.7213
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 15962.25
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7753

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",34.6302863690152,20199.563809002408,20171.71738492526
cot_few,numeric,csv,24.36,784.086,899.892,27.10000901222229,0.0,0.0,0.0,0.0001578,0.0013954000000000002,6959.0,2826.0,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gpt-5-nano-2025-08-07,1,3,uniform,"[4194, 3614, 3116, 2503, 2568, 2876, 2539]","[3950.0, 3700.0, 3600.0, 3500.0, 3450.0, 3400.0, 3350.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87072.8187
- Median: 39083.5
- Standard Deviation: 107590.7213
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 15962.25
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7753

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date,value
2021-03-12 00:00:00,23285
2021-03-13 00:00:00,24882
2021-03-14 00:00:00,25320
2021-03-15 00:00:00,26291
2021-03-16 00:00:00,24492
2021-03-17 00:00:00,28903
2021-03-18 00:00:00,35871

Output (forecast):
date,value
2021-03-19 00:00:00,39726
2021-03-20 00:00:00,40953
2021-03-21 00:00:00,43846
2021-03-22 00:00:00,46951
2021-03-23 00:00:00,40715
2021-03-24 00:00:00,47262
2021-03-25 00:00:00,53476

- Example 2:
Input (history):
date,value
2021-09-03 00:00:00,45352
2021-09-04 00:00:00,42618
2021-09-05 00:00:00,42766
2021-09-06 00:00:00,38948
2021-09-07 00:00:00,31222
2021-09-08 00:00:00,37875
2021-09-09 00:00:00,43263

Output (forecast):
date,value
2021-09-10 00:00:00,34973
2021-09-11 00:00:00,33376
2021-09-12 00:00:00,28591
2021-09-13 00:00:00,27254
2021-09-14 00:00:00,25404
2021-09-15 00:00:00,27176
2021-09-16 00:00:00,30570

- Example 3:
Input (history):
date,value
2022-02-25 00:00:00,13166
2022-02-26 00:00:00,11499
2022-02-27 00:00:00,10273
2022-02-28 00:00:00,8013
2022-03-01 00:00:00,6915
2022-03-02 00:00:00,7554
2022-03-03 00:00:00,6561

Output (forecast):
date,value
2022-03-04 00:00:00,6396
2022-03-05 00:00:00,5921
2022-03-06 00:00:00,5476
2022-03-07 00:00:00,4362
2022-03-08 00:00:00,3993
2022-03-09 00:00:00,4575
2022-03-10 00:00:00,4184

[INPUT]",2.939736382739105,126.95206129086678,132.7397683213286
cot_few,numeric,plain,40.674,1523.572,1633.666,27.236367893218993,0.0,0.0,0.0,7.819999999999999e-05,0.0006928,9374.0,2806.0,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gpt-5-nano-2025-08-07,1,3,uniform,"[4194, 3614, 3116, 2503, 2568, 2876, 2539]","[4320.0, 4450.0, 4300.0, 4200.0, 4100.0, 4200.0, 4300.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87072.8187
- Median: 39083.5
- Standard Deviation: 107590.7213
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 15962.25
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7753

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date: 2021-03-12 00:00:00, value: 23285
date: 2021-03-13 00:00:00, value: 24882
date: 2021-03-14 00:00:00, value: 25320
date: 2021-03-15 00:00:00, value: 26291
date: 2021-03-16 00:00:00, value: 24492
date: 2021-03-17 00:00:00, value: 28903
date: 2021-03-18 00:00:00, value: 35871

Output (forecast):
date: 2021-03-19 00:00:00, value: 39726
date: 2021-03-20 00:00:00, value: 40953
date: 2021-03-21 00:00:00, value: 43846
date: 2021-03-22 00:00:00, value: 46951
date: 2021-03-23 00:00:00, value: 40715
date: 2021-03-24 00:00:00, value: 47262
date: 2021-03-25 00:00:00, value: 53476

- Example 2:
Input (history):
date: 2021-09-03 00:00:00, value: 45352
date: 2021-09-04 00:00:00, value: 42618
date: 2021-09-05 00:00:00, value: 42766
date: 2021-09-06 00:00:00, value: 38948
date: 2021-09-07 00:00:00, value: 31222
date: 2021-09-08 00:00:00, value: 37875
date: 2021-09-09 00:00:00, value: 43263

Output (forecast):
date: 2021-09-10 00:00:00, value: 34973
date: 2021-09-11 00:00:00, value: 33376
date: 2021-09-12 00:00:00, value: 28591
date: 2021-09-13 00:00:00, value: 27254
date: 2021-09-14 00:00:00, value: 25404
date: 2021-09-15 00:00:00, value: 27176
date: 2021-09-16 00:00:00, value: 30570

- Example 3:
Input (history):
date: 2022-02-25 00:00:00, value: 13166
date: 2022-02-26 00:00:00, value: 11499
date: 2022-02-27 00:00:00, value: 10273
date: 2022-02-28 00:00:00, value: 8013
date: 2022-03-01 00:00:00, value: 6915
date: 2022-03-02 00:00:00, value: 7554
date: 2022-03-03 00:00:00, value: 6561

Output (forecast):
date: 2022-03-04 00:00:00, value: 6396
date: 2022-03-05 00:00:00, value: 5921
date: 2022-03-06 00:00:00, value: 5476
date: 2022-03-07 00:00:00, value: 4362
date: 2022-03-08 00:00:00, value: 3993
date: 2022-03-09 00:00:00, value: 4575
date: 2022-03-10 00:00:00, value: 4184

[INPUT]",3.171544734037342,163.02543247604038,160.82712686608565
cot_few,textual,csv,196.954,20283.086000000003,20340.102,46.93006048202515,0.0,0.0,0.0,0.000134,0.0011866,9869.0,4916.4,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gpt-5-nano-2025-08-07,1,3,uniform,"[4194, 3614, 3116, 2503, 2568, 2876, 2539]","[4.61, 4.51, 4.41, 4.31, 4.21, 4.12, 4.02]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87072.8187
- Median: 39083.5
- Standard Deviation: 107590.7213
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 15962.25
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7753

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date,value
2021-03-12 00:00:00,2 3 2 8 5
2021-03-13 00:00:00,2 4 8 8 2
2021-03-14 00:00:00,2 5 3 2 0
2021-03-15 00:00:00,2 6 2 9 1
2021-03-16 00:00:00,2 4 4 9 2
2021-03-17 00:00:00,2 8 9 0 3
2021-03-18 00:00:00,3 5 8 7 1

Output (forecast):
date,value
2021-03-19 00:00:00,3 9 7 2 6
2021-03-20 00:00:00,4 0 9 5 3
2021-03-21 00:00:00,4 3 8 4 6
2021-03-22 00:00:00,4 6 9 5 1
2021-03-23 00:00:00,4 0 7 1 5
2021-03-24 00:00:00,4 7 2 6 2
2021-03-25 00:00:00,5 3 4 7 6

- Example 2:
Input (history):
date,value
2021-09-03 00:00:00,4 5 3 5 2
2021-09-04 00:00:00,4 2 6 1 8
2021-09-05 00:00:00,4 2 7 6 6
2021-09-06 00:00:00,3 8 9 4 8
2021-09-07 00:00:00,3 1 2 2 2
2021-09-08 00:00:00,3 7 8 7 5
2021-09-09 00:00:00,4 3 2 6 3

Output (forecast):
date,value
2021-09-10 00:00:00,3 4 9 7 3
2021-09-11 00:00:00,3 3 3 7 6
2021-09-12 00:00:00,2 8 5 9 1
2021-09-13 00:00:00,2 7 2 5 4
2021-09-14 00:00:00,2 5 4 0 4
2021-09-15 00:00:00,2 7 1 7 6
2021-09-16 00:00:00,3 0 5 7 0

- Example 3:
Input (history):
date,value
2022-02-25 00:00:00,1 3 1 6 6
2022-02-26 00:00:00,1 1 4 9 9
2022-02-27 00:00:00,1 0 2 7 3
2022-02-28 00:00:00,8 0 1 3
2022-03-01 00:00:00,6 9 1 5
2022-03-02 00:00:00,7 5 5 4
2022-03-03 00:00:00,6 5 6 1

Output (forecast):
date,value
2022-03-04 00:00:00,6 3 9 6
2022-03-05 00:00:00,5 9 2 1
2022-03-06 00:00:00,5 4 7 6
2022-03-07 00:00:00,4 3 6 2
2022-03-08 00:00:00,3 9 9 3
2022-03-09 00:00:00,4 5 7 5
2022-03-10 00:00:00,4 1 8 4

[INPUT]",2.4610091426079626,17228.871000091272,17229.044500106324
cot_few,textual,plain,191.41199999999998,53034.85799999999,53063.212,36.62438263893127,0.0,0.0,0.0,0.00010499999999999999,0.0009278,12284.0,3927.0,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gpt-5-nano-2025-08-07,1,3,uniform,"[4194, 3614, 3116, 2503, 2568, 2876, 2539]","[4.0, 4.0, 4.0, 4.0, 4.0, 5.0, 5.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87072.8187
- Median: 39083.5
- Standard Deviation: 107590.7213
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 15962.25
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7753

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date: 2021-03-12 00:00:00, value: 2 3 2 8 5
date: 2021-03-13 00:00:00, value: 2 4 8 8 2
date: 2021-03-14 00:00:00, value: 2 5 3 2 0
date: 2021-03-15 00:00:00, value: 2 6 2 9 1
date: 2021-03-16 00:00:00, value: 2 4 4 9 2
date: 2021-03-17 00:00:00, value: 2 8 9 0 3
date: 2021-03-18 00:00:00, value: 3 5 8 7 1

Output (forecast):
date: 2021-03-19 00:00:00, value: 3 9 7 2 6
date: 2021-03-20 00:00:00, value: 4 0 9 5 3
date: 2021-03-21 00:00:00, value: 4 3 8 4 6
date: 2021-03-22 00:00:00, value: 4 6 9 5 1
date: 2021-03-23 00:00:00, value: 4 0 7 1 5
date: 2021-03-24 00:00:00, value: 4 7 2 6 2
date: 2021-03-25 00:00:00, value: 5 3 4 7 6

- Example 2:
Input (history):
date: 2021-09-03 00:00:00, value: 4 5 3 5 2
date: 2021-09-04 00:00:00, value: 4 2 6 1 8
date: 2021-09-05 00:00:00, value: 4 2 7 6 6
date: 2021-09-06 00:00:00, value: 3 8 9 4 8
date: 2021-09-07 00:00:00, value: 3 1 2 2 2
date: 2021-09-08 00:00:00, value: 3 7 8 7 5
date: 2021-09-09 00:00:00, value: 4 3 2 6 3

Output (forecast):
date: 2021-09-10 00:00:00, value: 3 4 9 7 3
date: 2021-09-11 00:00:00, value: 3 3 3 7 6
date: 2021-09-12 00:00:00, value: 2 8 5 9 1
date: 2021-09-13 00:00:00, value: 2 7 2 5 4
date: 2021-09-14 00:00:00, value: 2 5 4 0 4
date: 2021-09-15 00:00:00, value: 2 7 1 7 6
date: 2021-09-16 00:00:00, value: 3 0 5 7 0

- Example 3:
Input (history):
date: 2022-02-25 00:00:00, value: 1 3 1 6 6
date: 2022-02-26 00:00:00, value: 1 1 4 9 9
date: 2022-02-27 00:00:00, value: 1 0 2 7 3
date: 2022-02-28 00:00:00, value: 8 0 1 3
date: 2022-03-01 00:00:00, value: 6 9 1 5
date: 2022-03-02 00:00:00, value: 7 5 5 4
date: 2022-03-03 00:00:00, value: 6 5 6 1

Output (forecast):
date: 2022-03-04 00:00:00, value: 6 3 9 6
date: 2022-03-05 00:00:00, value: 5 9 2 1
date: 2022-03-06 00:00:00, value: 5 4 7 6
date: 2022-03-07 00:00:00, value: 4 3 6 2
date: 2022-03-08 00:00:00, value: 3 9 9 3
date: 2022-03-09 00:00:00, value: 4 5 7 5
date: 2022-03-10 00:00:00, value: 4 1 8 4

[INPUT]",2.8646734543399504,20415.647232677784,20404.03227792399
few_shot,numeric,csv,34.406,1226.028,1347.824,22.149161052703857,0.0,0.0,0.0,6.4e-05,0.000565,6846.0,2690.8,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gpt-5-nano-2025-08-07,1,3,uniform,"[4194, 3614, 3116, 2503, 2568, 2876, 2539]","[4320.0, 4450.0, 4620.0, 4500.0, 4700.0, 4600.0, 4800.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87072.8187
- Median: 39083.5
- Standard Deviation: 107590.7213
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 15962.25
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7753

[EXAMPLES]
- Example 1:
Input (history):
date,value
2021-03-12 00:00:00,23285
2021-03-13 00:00:00,24882
2021-03-14 00:00:00,25320
2021-03-15 00:00:00,26291
2021-03-16 00:00:00,24492
2021-03-17 00:00:00,28903
2021-03-18 00:00:00,35871

Output (forecast):
date,value
2021-03-19 00:00:00,39726
2021-03-20 00:00:00,40953
2021-03-21 00:00:00,43846
2021-03-22 00:00:00,46951
2021-03-23 00:00:00,40715
2021-03-24 00:00:00,47262
2021-03-25 00:00:00,53476

- Example 2:
Input (history):
date,value
2021-09-03 00:00:00,45352
2021-09-04 00:00:00,42618
2021-09-05 00:00:00,42766
2021-09-06 00:00:00,38948
2021-09-07 00:00:00,31222
2021-09-08 00:00:00,37875
2021-09-09 00:00:00,43263

Output (forecast):
date,value
2021-09-10 00:00:00,34973
2021-09-11 00:00:00,33376
2021-09-12 00:00:00,28591
2021-09-13 00:00:00,27254
2021-09-14 00:00:00,25404
2021-09-15 00:00:00,27176
2021-09-16 00:00:00,30570

- Example 3:
Input (history):
date,value
2022-02-25 00:00:00,13166
2022-02-26 00:00:00,11499
2022-02-27 00:00:00,10273
2022-02-28 00:00:00,8013
2022-03-01 00:00:00,6915
2022-03-02 00:00:00,7554
2022-03-03 00:00:00,6561

Output (forecast):
date,value
2022-03-04 00:00:00,6396
2022-03-05 00:00:00,5921
2022-03-06 00:00:00,5476
2022-03-07 00:00:00,4362
2022-03-08 00:00:00,3993
2022-03-09 00:00:00,4575
2022-03-10 00:00:00,4184

[INPUT]",3.5848299820214624,150.34921760355124,159.7068525330081
few_shot,numeric,plain,42.364,1520.914,1616.176,25.911134910583495,0.0,0.0,0.0,7.42e-05,0.0006590000000000001,9261.0,2724.2,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gpt-5-nano-2025-08-07,1,3,uniform,"[4194, 3614, 3116, 2503, 2568, 2876, 2539]","[4280.0, 4400.0, 4520.0, 4600.0, 4480.0, 4350.0, 4420.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87072.8187
- Median: 39083.5
- Standard Deviation: 107590.7213
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 15962.25
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7753

[EXAMPLES]
- Example 1:
Input (history):
date: 2021-03-12 00:00:00, value: 23285
date: 2021-03-13 00:00:00, value: 24882
date: 2021-03-14 00:00:00, value: 25320
date: 2021-03-15 00:00:00, value: 26291
date: 2021-03-16 00:00:00, value: 24492
date: 2021-03-17 00:00:00, value: 28903
date: 2021-03-18 00:00:00, value: 35871

Output (forecast):
date: 2021-03-19 00:00:00, value: 39726
date: 2021-03-20 00:00:00, value: 40953
date: 2021-03-21 00:00:00, value: 43846
date: 2021-03-22 00:00:00, value: 46951
date: 2021-03-23 00:00:00, value: 40715
date: 2021-03-24 00:00:00, value: 47262
date: 2021-03-25 00:00:00, value: 53476

- Example 2:
Input (history):
date: 2021-09-03 00:00:00, value: 45352
date: 2021-09-04 00:00:00, value: 42618
date: 2021-09-05 00:00:00, value: 42766
date: 2021-09-06 00:00:00, value: 38948
date: 2021-09-07 00:00:00, value: 31222
date: 2021-09-08 00:00:00, value: 37875
date: 2021-09-09 00:00:00, value: 43263

Output (forecast):
date: 2021-09-10 00:00:00, value: 34973
date: 2021-09-11 00:00:00, value: 33376
date: 2021-09-12 00:00:00, value: 28591
date: 2021-09-13 00:00:00, value: 27254
date: 2021-09-14 00:00:00, value: 25404
date: 2021-09-15 00:00:00, value: 27176
date: 2021-09-16 00:00:00, value: 30570

- Example 3:
Input (history):
date: 2022-02-25 00:00:00, value: 13166
date: 2022-02-26 00:00:00, value: 11499
date: 2022-02-27 00:00:00, value: 10273
date: 2022-02-28 00:00:00, value: 8013
date: 2022-03-01 00:00:00, value: 6915
date: 2022-03-02 00:00:00, value: 7554
date: 2022-03-03 00:00:00, value: 6561

Output (forecast):
date: 2022-03-04 00:00:00, value: 6396
date: 2022-03-05 00:00:00, value: 5921
date: 2022-03-06 00:00:00, value: 5476
date: 2022-03-07 00:00:00, value: 4362
date: 2022-03-08 00:00:00, value: 3993
date: 2022-03-09 00:00:00, value: 4575
date: 2022-03-10 00:00:00, value: 4184

[INPUT]",3.306542907630264,219.82130425870918,215.49798928528307
