Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,plain,68.22,227.12,290.47,0.0,0.0,0.0,0.000127,0.001124,33002,5206,45.08804273605347,"[0.0, 59.0, 334.0, 654.0, 726.0, 556.0, 415.0, 434.0, 581.0, 656.0, 549.0, 529.0, 508.0, 712.0, 743.0, 728.0, 467.0, 308.0, 334.0, 299.0, 117.0, 23.0, 0.0, 0.0]","[35.0, 40.0, 120.0, 260.0, 320.0, 420.0, 520.0, 630.0, 700.0, 750.0, 760.0, 780.0, 900.0, 1100.0, 1400.0, 1300.0, 900.0, 700.0, 520.0, 420.0, 180.0, 50.0, 25.0, 15.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1416 periods).

[STATISTICAL CONTEXT]
- Mean: 485.0466
- Median: 468.0
- Standard Deviation: 378.0726
- Minimum Value: 0.0
- Maximum Value: 1578.0
- First Quartile (Q1): 136.0
- Third Quartile (Q3): 706.0
- Trend Strength (STL): 0.7292
- Seasonality Strength (STL): 0.9413

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,plain,80.49,311.58,367.62,0.0,0.0,0.0,0.000116,0.001024,33002,4423,40.57452082633972,"[0.0, 59.0, 334.0, 654.0, 726.0, 556.0, 415.0, 434.0, 581.0, 656.0, 549.0, 529.0, 508.0, 712.0, 743.0, 728.0, 467.0, 308.0, 334.0, 299.0, 117.0, 23.0, 0.0, 0.0]","[60.0, 60.0, 90.0, 150.0, 240.0, 360.0, 480.0, 620.0, 700.0, 720.0, 700.0, 700.0, 800.0, 900.0, 1100.0, 1250.0, 1200.0, 1000.0, 800.0, 650.0, 520.0, 450.0, 420.0, 380.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1416 periods).

[STATISTICAL CONTEXT]
- Mean: 485.0466
- Median: 468.0
- Standard Deviation: 378.0726
- Minimum Value: 0.0
- Maximum Value: 1578.0
- First Quartile (Q1): 136.0
- Third Quartile (Q3): 706.0
- Trend Strength (STL): 0.7292
- Seasonality Strength (STL): 0.9413

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,plain,47.63,244.25,321.87,0.0,0.0,0.0,0.000131,0.001155,33002,4440,45.7417688369751,"[0.0, 59.0, 334.0, 654.0, 726.0, 556.0, 415.0, 434.0, 581.0, 656.0, 549.0, 529.0, 508.0, 712.0, 743.0, 728.0, 467.0, 308.0, 334.0, 299.0, 117.0, 23.0, 0.0, 0.0]","[0.0, 0.0, 90.0, 520.0, 1020.0, 980.0, 750.0, 630.0, 720.0, 760.0, 700.0, 800.0, 950.0, 1200.0, 1400.0, 1450.0, 1000.0, 700.0, 520.0, 350.0, 140.0, 40.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1416 periods).

[STATISTICAL CONTEXT]
- Mean: 485.0466
- Median: 468.0
- Standard Deviation: 378.0726
- Minimum Value: 0.0
- Maximum Value: 1578.0
- First Quartile (Q1): 136.0
- Third Quartile (Q3): 706.0
- Trend Strength (STL): 0.7292
- Seasonality Strength (STL): 0.9413

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,plain,56.5,206.17,284.6,0.0,0.0,0.0,0.000115,0.001016,33002,3819,40.15135288238525,"[0.0, 59.0, 334.0, 654.0, 726.0, 556.0, 415.0, 434.0, 581.0, 656.0, 549.0, 529.0, 508.0, 712.0, 743.0, 728.0, 467.0, 308.0, 334.0, 299.0, 117.0, 23.0, 0.0, 0.0]","[40.0, 65.0, 520.0, 1050.0, 980.0, 900.0, 680.0, 510.0, 610.0, 630.0, 650.0, 690.0, 750.0, 980.0, 1400.0, 1350.0, 1000.0, 720.0, 550.0, 360.0, 150.0, 30.0, 8.0, 5.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1416 periods).

[STATISTICAL CONTEXT]
- Mean: 485.0466
- Median: 468.0
- Standard Deviation: 378.0726
- Minimum Value: 0.0
- Maximum Value: 1578.0
- First Quartile (Q1): 136.0
- Third Quartile (Q3): 706.0
- Trend Strength (STL): 0.7292
- Seasonality Strength (STL): 0.9413

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,plain,35.83,178.46,268.02,0.0,0.0,0.0,0.000146,0.00129,33002,5141,51.08114171028137,"[0.0, 59.0, 334.0, 654.0, 726.0, 556.0, 415.0, 434.0, 581.0, 656.0, 549.0, 529.0, 508.0, 712.0, 743.0, 728.0, 467.0, 308.0, 334.0, 299.0, 117.0, 23.0, 0.0, 0.0]","[25.0, 60.0, 260.0, 520.0, 820.0, 730.0, 540.0, 550.0, 660.0, 700.0, 640.0, 730.0, 820.0, 980.0, 1500.0, 1420.0, 900.0, 650.0, 520.0, 420.0, 110.0, 30.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1416 periods).

[STATISTICAL CONTEXT]
- Mean: 485.0466
- Median: 468.0
- Standard Deviation: 378.0726
- Minimum Value: 0.0
- Maximum Value: 1578.0
- First Quartile (Q1): 136.0
- Third Quartile (Q3): 706.0
- Trend Strength (STL): 0.7292
- Seasonality Strength (STL): 0.9413

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,gpt-5-nano-2025-08-07,1,textual,zero_shot,0,,plain,59.9,187.5,234.02,0.0,0.0,0.0,0.000126,0.001115,39241,4803,44.04828119277954,"[0.0, 59.0, 334.0, 654.0, 726.0, 556.0, 415.0, 434.0, 581.0, 656.0, 549.0, 529.0, 508.0, 712.0, 743.0, 728.0, 467.0, 308.0, 334.0, 299.0, 117.0, 23.0, 0.0, 0.0]","[490.0, 500.0, 520.0, 590.0, 550.0, 500.0, 470.0, 480.0, 520.0, 560.0, 640.0, 700.0, 660.0, 620.0, 590.0, 560.0, 520.0, 480.0, 450.0, 420.0, 400.0, 420.0, 420.0, 440.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1416 periods).

[STATISTICAL CONTEXT]
- Mean: 485.0466
- Median: 468.0
- Standard Deviation: 378.0726
- Minimum Value: 0.0
- Maximum Value: 1578.0
- First Quartile (Q1): 136.0
- Third Quartile (Q3): 706.0
- Trend Strength (STL): 0.7292
- Seasonality Strength (STL): 0.9413

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,gpt-5-nano-2025-08-07,1,textual,zero_shot,0,,plain,31.5,195.67,268.64,0.0,0.0,0.0,0.00016,0.001417,39241,5657,56.14983797073364,"[0.0, 59.0, 334.0, 654.0, 726.0, 556.0, 415.0, 434.0, 581.0, 656.0, 549.0, 529.0, 508.0, 712.0, 743.0, 728.0, 467.0, 308.0, 334.0, 299.0, 117.0, 23.0, 0.0, 0.0]","[0.0, 78.0, 586.0, 1211.0, 1005.0, 815.0, 523.0, 550.0, 696.0, 738.0, 593.0, 686.0, 797.0, 1033.0, 1376.0, 1141.0, 1012.0, 547.0, 404.0, 450.0, 158.0, 17.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1416 periods).

[STATISTICAL CONTEXT]
- Mean: 485.0466
- Median: 468.0
- Standard Deviation: 378.0726
- Minimum Value: 0.0
- Maximum Value: 1578.0
- First Quartile (Q1): 136.0
- Third Quartile (Q3): 706.0
- Trend Strength (STL): 0.7292
- Seasonality Strength (STL): 0.9413

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,gpt-5-nano-2025-08-07,1,textual,zero_shot,0,,plain,63.29,210.29,268.32,0.0,0.0,0.0,0.000141,0.001249,39241,5843,49.39295935630798,"[0.0, 59.0, 334.0, 654.0, 726.0, 556.0, 415.0, 434.0, 581.0, 656.0, 549.0, 529.0, 508.0, 712.0, 743.0, 728.0, 467.0, 308.0, 334.0, 299.0, 117.0, 23.0, 0.0, 0.0]","[520.0, 548.0, 571.0, 588.0, 598.0, 599.0, 593.0, 579.0, 558.0, 533.0, 501.0, 471.0, 440.0, 410.0, 389.0, 372.0, 363.0, 360.0, 366.0, 380.0, 402.0, 431.0, 458.0, 489.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1416 periods).

[STATISTICAL CONTEXT]
- Mean: 485.0466
- Median: 468.0
- Standard Deviation: 378.0726
- Minimum Value: 0.0
- Maximum Value: 1578.0
- First Quartile (Q1): 136.0
- Third Quartile (Q3): 706.0
- Trend Strength (STL): 0.7292
- Seasonality Strength (STL): 0.9413

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,gpt-5-nano-2025-08-07,1,textual,zero_shot,0,,plain,65.2,225.0,279.39,0.0,0.0,0.0,7.1e-05,0.000628,39241,3731,24.607930183410645,"[0.0, 59.0, 334.0, 654.0, 726.0, 556.0, 415.0, 434.0, 581.0, 656.0, 549.0, 529.0, 508.0, 712.0, 743.0, 728.0, 467.0, 308.0, 334.0, 299.0, 117.0, 23.0, 0.0, 0.0]","[420.0, 426.0, 432.0, 438.0, 444.0, 450.0, 456.0, 462.0, 468.0, 474.0, 480.0, 486.0, 492.0, 498.0, 504.0, 510.0, 516.0, 522.0, 528.0, 534.0, 540.0, 546.0, 552.0, 558.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1416 periods).

[STATISTICAL CONTEXT]
- Mean: 485.0466
- Median: 468.0
- Standard Deviation: 378.0726
- Minimum Value: 0.0
- Maximum Value: 1578.0
- First Quartile (Q1): 136.0
- Third Quartile (Q3): 706.0
- Trend Strength (STL): 0.7292
- Seasonality Strength (STL): 0.9413

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,gpt-5-nano-2025-08-07,1,textual,zero_shot,0,,plain,61.34,196.38,248.01,0.0,0.0,0.0,0.000119,0.001055,39241,5331,41.59391117095947,"[0.0, 59.0, 334.0, 654.0, 726.0, 556.0, 415.0, 434.0, 581.0, 656.0, 549.0, 529.0, 508.0, 712.0, 743.0, 728.0, 467.0, 308.0, 334.0, 299.0, 117.0, 23.0, 0.0, 0.0]","[480.0, 490.0, 500.0, 510.0, 520.0, 515.0, 505.0, 515.0, 525.0, 535.0, 545.0, 550.0, 540.0, 530.0, 520.0, 510.0, 500.0, 490.0, 480.0, 470.0, 460.0, 450.0, 455.0, 460.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1416 periods).

[STATISTICAL CONTEXT]
- Mean: 485.0466
- Median: 468.0
- Standard Deviation: 378.0726
- Minimum Value: 0.0
- Maximum Value: 1578.0
- First Quartile (Q1): 136.0
- Third Quartile (Q3): 706.0
- Trend Strength (STL): 0.7292
- Seasonality Strength (STL): 0.9413

[INPUT]"
