Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,moonshotai/kimi-k2-instruct-0905,0.7,numeric,zero_shot,0,,plain,15.08,440.86,919.61,0.001538,0.014102,0.03169,0.002014,0.01781,7837,145,14.364515542984009,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1678.0, 4801.0, 5209.0, 5382.0, 5126.0, 4513.0, 3887.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,moonshotai/kimi-k2-instruct-0905,0.7,numeric,zero_shot,0,,plain,5.99,233.43,285.19,0.001531,0.0075,0.016855,0.002068,0.018289,7837,142,7.157140493392944,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1753.0, 4891.0, 5194.0, 4937.0, 4671.0, 3842.0, 1618.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,moonshotai/kimi-k2-instruct-0905,0.7,numeric,zero_shot,0,,plain,5.79,224.43,255.26,0.001538,0.009208,0.020691,0.002723,0.024086,7837,145,9.56101107597351,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1789.0, 4886.0, 5097.0, 5012.0, 4734.0, 3879.0, 1592.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,moonshotai/kimi-k2-instruct-0905,0.7,numeric,zero_shot,0,,plain,4.32,155.29,187.86,0.001566,0.006532,0.014679,0.000937,0.008287,7837,156,6.181083917617798,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1730.0, 4975.0, 5300.0, 5120.0, 4850.0, 3950.0, 1640.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,moonshotai/kimi-k2-instruct-0905,0.7,numeric,zero_shot,0,,plain,5.32,174.0,196.14,0.001516,0.005921,0.013305,0.00178,0.015747,7837,136,6.398442506790161,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1615.0, 4911.0, 5234.0, 5098.0, 4837.0, 3982.0, 1649.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,moonshotai/kimi-k2-instruct-0905,0.7,textual,zero_shot,0,,plain,6.1,229.57,351.06,0.001821,0.0084,0.018877,0.001598,0.014131,9657,149,8.613039255142212,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1843.0, 5077.0, 5293.0, 5198.0, 4299.0, 3834.0, 1553.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,moonshotai/kimi-k2-instruct-0905,0.7,textual,zero_shot,0,,plain,9.72,364.86,442.36,0.001851,0.007241,0.016273,0.00107,0.009464,9657,161,7.251312255859375,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[2010.0, 4909.0, 4995.0, 4653.0, 4256.0, 4039.0, 1598.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,moonshotai/kimi-k2-instruct-0905,0.7,textual,zero_shot,0,,plain,27.65,1015.0,1317.37,0.001931,0.009903,0.022254,0.001315,0.011633,9657,193,9.612322807312012,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1733.0, 4033.0, 4344.0, 4244.0, 3861.0, 1533.0, 1589.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,moonshotai/kimi-k2-instruct-0905,0.7,textual,zero_shot,0,,plain,15.34,427.0,938.52,0.001876,0.01116,0.025079,0.00152,0.013446,9657,171,11.001489400863647,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1893.0, 4844.0, 5236.0, 5266.0, 5120.0, 4331.0, 3947.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,moonshotai/kimi-k2-instruct-0905,0.7,textual,zero_shot,0,,plain,33.76,1185.86,1754.77,0.001789,0.019214,0.043177,0.005453,0.048224,9657,136,19.85457754135132,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1509.0, 2158.0, 5340.0, 5226.0, 5393.0, 5644.0, 4811.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
