Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,z-ai/glm-5.1,0.7,numeric,zero_shot,0,,plain,37.1,1449.0,1760.66,0.012279,0.008248,0.07991,0.003475,0.030732,8155,196,8.019469976425171,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4128.0, 4318.0, 4580.0, 4752.0, 4920.0, 5103.0, 5285.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,z-ai/glm-5.1,0.7,numeric,zero_shot,0,,plain,69.4,3666.57,4158.46,0.012125,0.04649,0.450435,0.018425,0.162953,8155,161,44.23724436759949,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5101.0, 5640.0, 6125.0, 6840.0, 7520.0, 8310.0, 9185.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,z-ai/glm-5.1,0.7,numeric,zero_shot,0,,plain,68.98,3549.29,3916.47,0.012147,0.022453,0.217539,0.008168,0.072241,8155,166,19.279794692993164,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5102.0, 5894.0, 6453.0, 6921.0, 7385.0, 7844.0, 8301.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,z-ai/glm-5.1,0.7,numeric,zero_shot,0,,plain,71.74,3908.57,4458.58,0.012134,0.017043,0.165123,0.007642,0.06759,8155,163,17.105064868927002,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5101.0, 5662.0, 6314.0, 7028.0, 7839.0, 8736.0, 9735.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,z-ai/glm-5.1,0.7,numeric,zero_shot,0,,plain,72.75,3965.29,4468.88,0.012169,0.03054,0.295895,0.01147,0.10144,8155,171,27.93545174598694,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5102.0, 5845.0, 6514.0, 7210.0, 7938.0, 8701.0, 9502.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,z-ai/glm-5.1,0.7,textual,zero_shot,0,,plain,8.11,247.71,316.49,0.015395,0.025821,0.250177,0.010859,0.096037,10478,165,26.171895503997803,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4101.0, 3728.0, 3382.0, 3069.0, 2785.0, 2527.0, 2293.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,z-ai/glm-5.1,0.7,textual,zero_shot,0,,plain,8.29,254.86,303.1,0.015373,0.016159,0.156562,0.005563,0.049198,10478,160,12.926956176757812,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4125.0, 3784.0, 3542.0, 3290.0, 3051.0, 2825.0, 2612.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,z-ai/glm-5.1,0.7,textual,zero_shot,0,,plain,99.18,8864.86,11040.39,0.015395,0.062005,0.600751,0.022038,0.194909,10478,165,52.521244525909424,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5215.0, 6484.0, 8123.0, 10546.0, 13720.0, 17836.0, 23185.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,z-ai/glm-5.1,0.7,textual,zero_shot,0,,plain,24.1,833.14,999.59,0.015338,0.021281,0.206189,0.011475,0.101486,10478,152,20.50218105316162,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4155.0, 3998.0, 4210.0, 4451.0, 4089.0, 3856.0, 3678.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,z-ai/glm-5.1,0.7,textual,zero_shot,0,,plain,50.44,1211.43,1260.18,0.015325,0.033848,0.327945,0.019442,0.171947,10478,149,34.69133448600769,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[3554.0, 2921.0, 2368.0, 1916.0, 1549.0, 1253.0, 1014.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,z-ai/glm-5.1,0.7,numeric,zero_shot,0,,csv,79.24,4591.57,5110.04,0.00962,0.021747,0.210701,0.009658,0.085418,6337,170,23.316075801849365,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5214.0, 6102.0, 7450.0, 8320.0, 9180.0, 8690.0, 10240.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
