Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,gemma-3-4b-it,0.7,numeric,zero_shot,0,,plain,119.39,665.67,754.08,0.0,0.527429,1.185233,0.084259,0.745199,19181,834,25.44091105461121,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[1003.0, 1419.0, 1719.0, 1451.0, 1087.0, 693.0, 529.0, 483.0, 144.0, 51.0, 0.0, 0.0, 0.0, 88.0, 656.0, 1499.0, 1120.0, 926.0, 682.0, 641.0, 909.0, 968.0, 947.0, 902.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,gemma-3-4b-it,0.7,numeric,zero_shot,0,,plain,119.39,665.67,754.08,0.0,0.429244,0.964594,0.07861,0.695238,19181,834,23.435437202453613,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[1003.0, 1419.0, 1719.0, 1451.0, 1087.0, 693.0, 529.0, 483.0, 144.0, 51.0, 0.0, 0.0, 0.0, 88.0, 656.0, 1499.0, 1120.0, 926.0, 682.0, 641.0, 909.0, 968.0, 947.0, 902.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,gemma-3-4b-it,0.7,numeric,zero_shot,0,,plain,119.39,665.67,754.08,0.0,0.430146,0.966621,0.070474,0.623279,19181,834,23.50225806236267,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[1003.0, 1419.0, 1719.0, 1451.0, 1087.0, 693.0, 529.0, 483.0, 144.0, 51.0, 0.0, 0.0, 0.0, 88.0, 656.0, 1499.0, 1120.0, 926.0, 682.0, 641.0, 909.0, 968.0, 947.0, 902.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,gemma-3-4b-it,0.7,numeric,zero_shot,0,,plain,119.39,665.67,754.08,0.0,0.437881,0.984003,0.081105,0.717301,19181,834,23.59065341949463,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[1003.0, 1419.0, 1719.0, 1451.0, 1087.0, 693.0, 529.0, 483.0, 144.0, 51.0, 0.0, 0.0, 0.0, 88.0, 656.0, 1499.0, 1120.0, 926.0, 682.0, 641.0, 909.0, 968.0, 947.0, 902.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,gemma-3-4b-it,0.7,numeric,zero_shot,0,,plain,119.39,665.67,754.08,0.0,0.436842,0.981668,0.072969,0.645351,19181,833,23.36531114578247,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[1003.0, 1419.0, 1719.0, 1451.0, 1087.0, 693.0, 529.0, 483.0, 144.0, 51.0, 0.0, 0.0, 0.0, 88.0, 656.0, 1499.0, 1120.0, 926.0, 682.0, 641.0, 909.0, 968.0, 947.0, 902.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,gemma-3-4b-it,0.7,textual,zero_shot,0,,plain,190.94,645.25,804.32,0.0,0.543,1.220224,0.078587,0.695032,19181,787,26.017942667007446,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[5.0, 8.0, 4.0, 0.0, 5.0, 7.0, 9.0, 6.0, 4.0, 6.0, 6.0, 0.0, 5.0, 6.0, 9.0, 7.0, 1.0, 6.0, 2.0, 1.0, 3.0, 7.0, 4.0, 2.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,gemma-3-4b-it,0.7,textual,zero_shot,0,,plain,191.44,644.92,804.2,0.0,0.401408,0.90204,0.064486,0.570321,19181,763,21.68154573440552,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[5.0, 8.0, 4.0, 0.0, 5.0, 6.0, 0.0, 4.0, 6.0, 9.0, 6.0, 3.0, 5.0, 8.0, 6.0, 7.0, 9.0, 6.0, 1.0, 3.0, 7.0, 4.0, 2.0, 1.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,gemma-3-4b-it,0.7,textual,zero_shot,0,,plain,191.44,645.21,804.2,0.0,0.397724,0.893761,0.075382,0.666689,19181,764,21.42495942115784,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[5.0, 8.0, 4.0, 0.0, 5.0, 6.0, 0.0, 4.0, 6.0, 9.0, 6.0, 3.0, 5.0, 8.0, 6.0, 7.0, 9.0, 6.0, 1.0, 3.0, 7.0, 4.0, 2.0, 8.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,gemma-3-4b-it,0.7,textual,zero_shot,0,,plain,192.63,645.04,804.21,0.0,0.410472,0.922408,0.063713,0.563485,19181,787,21.96639895439148,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[5.0, 8.0, 4.0, 0.0, 5.0, 7.0, 9.0, 6.0, 4.0, 6.0, 6.0, 0.0, 5.0, 8.0, 6.0, 9.0, 7.0, 1.0, 6.0, 2.0, 4.0, 3.0, 1.0, 4.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,gemma-3-4b-it,0.7,textual,zero_shot,0,,plain,191.11,645.46,804.46,0.0,0.400406,0.899789,0.068816,0.608623,19181,764,21.303125381469727,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[5.0, 8.0, 4.0, 0.0, 5.0, 6.0, 0.0, 4.0, 6.0, 9.0, 6.0, 3.0, 5.0, 8.0, 6.0, 7.0, 1.0, 6.0, 2.0, 1.0, 3.0, 7.0, 4.0, 2.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
