Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistral-small-3.2-24b-instruct-2506,0.7,numeric,zero_shot,0,,plain,36.74,1409.29,1518.34,0.0,0.60769,1.365595,0.165206,1.461109,11921,224,9.501862049102783,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4578.0, 4955.0, 5163.0, 4973.0, 4563.0, 4348.0, 4340.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistral-small-3.2-24b-instruct-2506,0.7,numeric,zero_shot,0,,plain,16.96,479.5,569.73,0.0,0.256286,0.575924,0.064111,0.567011,11921,234,3.3979408740997314,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4589.0, 3626.5, 3230.5, 2835.0, 2439.5, 2044.0, 1744.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistral-small-3.2-24b-instruct-2506,0.7,numeric,zero_shot,0,,plain,27.36,1011.0,1132.19,0.0,0.284214,0.638684,0.058103,0.513876,11921,262,3.780272722244263,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4659.0, 4890.0, 4729.0, 4791.0, 4176.0, 3722.0, 3165.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistral-small-3.2-24b-instruct-2506,0.7,numeric,zero_shot,0,,plain,22.62,777.57,901.2,0.0,0.25447,0.571843,0.06412,0.567086,11921,231,3.37986421585083,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4859.0, 4111.0, 3889.0, 3765.0, 3766.0, 3890.0, 4052.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistral-small-3.2-24b-instruct-2506,0.7,numeric,zero_shot,0,,plain,26.76,949.14,1135.3,0.0,0.244721,0.549935,0.062849,0.555844,11921,224,3.2755346298217773,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4589.0, 3866.0, 3518.0, 4459.0, 4362.0, 4059.0, 3998.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistral-small-3.2-24b-instruct-2506,0.7,textual,zero_shot,0,,plain,199.09,3286.57,3352.75,0.0,0.603474,1.356122,0.131963,1.167097,13423,215,7.316852807998657,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4.0, 5.0, 9.0, 8.0, 9.0, 8.0, 6.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistral-small-3.2-24b-instruct-2506,0.7,textual,zero_shot,0,,plain,199.37,3288.71,3354.77,0.0,0.257383,0.578389,0.063539,0.561947,13423,225,3.3781840801239014,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[3.0, 4.0, 5.0, 4.0, 6.0, 5.0, 7.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistral-small-3.2-24b-instruct-2506,0.7,textual,zero_shot,0,,plain,199.47,3289.29,3355.01,0.0,0.190653,0.428434,0.046967,0.41538,13423,186,2.779831886291504,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4.0, 9.0, 1.0, 5.0, 8.0, 0.0, 3.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistral-small-3.2-24b-instruct-2506,0.7,textual,zero_shot,0,,plain,199.25,3287.86,3353.95,0.0,0.244837,0.550195,0.056771,0.50209,13423,214,3.195556402206421,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 1.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistral-small-3.2-24b-instruct-2506,0.7,textual,zero_shot,0,,plain,199.0,3286.0,3352.29,0.0,0.260474,0.585336,0.062663,0.554204,13423,216,3.2071220874786377,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4.0, 5.0, 8.0, 9.0, 9.0, 9.0, 9.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistral-small-3.2-24b-instruct-2506,0.7,numeric,zero_shot,0,,csv,35.15,1329.14,1393.91,0.0,0.505463,1.135871,0.115813,1.024273,9740,234,6.337459802627564,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5148.0, 4920.0, 4652.0, 4393.0, 4483.0, 4291.0, 4472.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistral-small-3.2-24b-instruct-2506,0.7,numeric,zero_shot,0,,csv,48.39,2041.71,2242.96,0.0,0.250001,0.561799,0.064631,0.57161,9740,233,3.3224964141845703,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4859.0, 5084.0, 5195.0, 5366.0, 5509.0, 5623.0, 5711.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistral-small-3.2-24b-instruct-2506,0.7,numeric,zero_shot,0,,csv,53.08,2419.71,2842.64,0.0,0.253418,0.56948,0.064797,0.573075,9740,234,3.334338665008545,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4599.0, 4851.0, 5152.0, 5526.0, 5992.0, 6571.0, 7302.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistral-small-3.2-24b-instruct-2506,0.7,numeric,zero_shot,0,,csv,36.46,1402.0,1634.34,0.0,0.254167,0.571162,0.064675,0.571994,9740,234,3.312305927276612,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4598.0, 4420.0, 4450.0, 4670.0, 4828.0, 4882.0, 5021.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistral-small-3.2-24b-instruct-2506,0.7,numeric,zero_shot,0,,csv,34.76,1383.14,1449.97,0.0,0.249945,0.561675,0.063174,0.558721,9740,227,3.2106621265411377,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5894.0, 6046.0, 4769.0, 3715.0, 3528.0, 4377.0, 4408.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistral-small-3.2-24b-instruct-2506,0.7,textual,zero_shot,0,,csv,199.27,3288.0,3354.12,0.0,0.564277,1.268037,0.118121,1.044681,11242,230,6.413048267364502,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4.0, 4.0, 5.0, 5.0, 6.0, 7.0, 8.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistral-small-3.2-24b-instruct-2506,0.7,textual,zero_shot,0,,csv,199.5,3289.57,3355.36,0.0,0.241295,0.542235,0.060115,0.531664,11242,210,3.0212390422821045,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,mistral-small-3.2-24b-instruct-2506,0.7,textual,zero_shot,0,,csv,199.77,3291.57,3357.23,0.0,0.175876,0.395227,0.053841,0.476181,11242,184,2.645291805267334,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4.0, 2.0, 3.0, 1.0, 0.0, 2.0, 2.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
