Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,numeric,zero_shot,0,,plain,39.79,1572.29,1804.45,0.0,0.037106,0.359512,0.034199,0.302464,8267,178,3.457212448120117,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4513.0, 4622.0, 4735.0, 4850.0, 4976.0, 5111.0, 5254.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,numeric,zero_shot,0,,plain,199.62,3290.14,3355.55,0.0,0.014006,0.135705,0.012615,0.111573,8267,166,1.862663745880127,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[11.0, 4.0, 2.0, 3.0, 3.0, 1.0, 0.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,numeric,zero_shot,0,,plain,185.27,3859.93,4276.12,0.0,0.02042,0.197848,0.015427,0.136437,8267,190,2.6635141372680664,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[12345.0, 10.0, 2.0, -4.0, 1.0, 3.0, 0.5]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,numeric,zero_shot,0,,plain,33.85,1267.14,1455.96,0.0,0.01225,0.118685,0.016192,0.143204,8267,182,1.6836044788360596,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4477.0, 4498.0, 4520.0, 4556.0, 4593.0, 4622.0, 4659.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,numeric,zero_shot,0,,plain,199.57,18921430663.67,46435828902.11,0.0,0.015517,0.150336,0.014245,0.125982,8267,177,2.096193790435791,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[-122450000000.0, 10000000000.0, 2.5, 2.1, 3.14, 5.25, 8.31]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,textual,zero_shot,0,,plain,199.48,3289.43,3355.23,0.0,0.041044,0.397662,0.033349,0.294947,10907,142,3.202359199523926,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4.0, 6.0, 3.0, 5.0, 7.0, 1.0, 3.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,textual,zero_shot,0,,plain,199.61,3291.73,3357.6,0.0,0.017754,0.172017,0.019661,0.173889,10907,196,2.108953952789306,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[3.14159, 2.71828, 1.61803, -7.777, 0.0001, 8.8888, 4.321]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,textual,zero_shot,0,,plain,199.24,3287.57,3353.49,0.0,0.008363,0.08103,0.015876,0.140414,10907,159,1.1466007232666016,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5.0, 7.0, 6.0, 4.0, 8.0, 3.0, 9.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,textual,zero_shot,0,,plain,199.39,3288.71,3354.57,0.0,0.009841,0.095351,0.014136,0.125018,10907,160,1.1652562618255615,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4.0, 5.0, 7.0, 6.0, 3.0, 8.0, 1.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,textual,zero_shot,0,,plain,199.25,3287.57,3353.46,0.0,0.009554,0.09257,0.014758,0.130524,10907,160,1.1870479583740234,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5.0, 8.0, 3.0, 9.0, 6.0, 4.0, 7.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,numeric,zero_shot,0,,csv,199.43,3290.29,3356.6,0.0,0.052265,0.506388,0.034493,0.305063,6086,241,5.684736490249634,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[1.0, 2.0, 3.0, -5.0, 4.0, 15.0, 3.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,numeric,zero_shot,0,,csv,199.61,3290.41,3356.23,0.0,0.033514,0.324705,0.026689,0.236046,6086,238,4.798844337463379,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[0.1, 7.0, 2.0, 5.0, 3.0, 3.0, 2.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,numeric,zero_shot,0,,csv,40.96,1630.0,1842.58,0.0,0.003729,0.036133,0.012978,0.114776,6086,135,0.9125347137451172,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4620.0, 4705.0, 4800.0, 4905.0, 5020.0, 5145.0, 5270.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,numeric,zero_shot,0,,csv,199.78,3294.0,3359.19,0.0,0.025127,0.243449,0.021302,0.188399,6086,197,3.3573946952819824,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[1.0, 2.0, 3.0, 5.0, -16.0, 2.0, 0.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,numeric,zero_shot,0,,csv,30.35,1101.2,1248.35,0.0,0.009588,0.092899,0.018257,0.161464,6086,166,1.3494744300842283,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4520.12, 4478.34, 4436.56, 4394.78, 4352.99, 4311.21, 4269.43]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,textual,zero_shot,0,,csv,199.38,3288.57,3354.4,0.0,0.030633,0.296793,0.029959,0.264965,8726,159,2.658368825912476,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4.0, 6.0, 7.0, 5.0, 3.0, 8.0, 2.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,textual,zero_shot,0,,csv,199.45,3289.57,3355.79,0.0,0.007509,0.07275,0.014235,0.125895,8726,145,1.1832008361816406,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,textual,zero_shot,0,,csv,197.02,437088.71,437203.45,0.0,0.009173,0.088878,0.015897,0.140599,8726,168,1.3018300533294678,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[428331.0, 425437.0, 442345.0, 438921.0, 449332.0, 451211.0, 447099.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,textual,zero_shot,0,,csv,199.39,3289.14,3355.45,0.0,0.013237,0.128254,0.01321,0.116831,8726,167,1.8302905559539795,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[1.0, 2.0, 3.0, 4.0, 6.0, 7.0, 8.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
