Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen3-14b,0.7,numeric,zero_shot,0,,plain,42.19,1642.14,2023.68,0.0,0.349607,0.785633,0.079919,0.706816,11507,227,5.423653841018677,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4859.0, 6240.0, 5425.0, 4263.0, 6284.0, 5335.0, 5197.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen3-14b,0.7,numeric,zero_shot,0,,plain,32.44,1041.0,1617.34,0.0,0.116807,0.262487,0.036329,0.321302,11507,204,2.190706729888916,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1598.0, 1648.0, 4496.0, 5369.0, 5133.0, 4774.0, 3887.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen3-14b,0.7,numeric,zero_shot,0,,plain,20.4,696.86,1306.51,0.0,0.143685,0.322887,0.040636,0.359391,11507,232,2.4748520851135254,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1549.0, 1682.0, 4911.0, 5429.0, 4707.0, 3884.0, 1562.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen3-14b,0.7,numeric,zero_shot,0,,plain,35.38,1278.0,1907.12,0.0,0.135286,0.304013,0.041285,0.365134,11507,235,2.4848690032958984,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4892.0, 5659.0, 4845.0, 5076.0, 5225.0, 4902.0, 5285.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen3-14b,0.7,numeric,zero_shot,0,,plain,32.92,1052.71,1646.75,0.0,0.129172,0.290274,0.037194,0.32895,11507,232,2.464495897293091,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1948.0, 1652.0, 4693.0, 5045.0, 5018.0, 4523.0, 4092.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen3-14b,0.7,textual,zero_shot,0,,plain,199.42,4025.14,4319.51,0.0,0.394467,0.886443,0.071961,0.636437,12599,234,5.321776390075684,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[5.0, 4.0, 6.0, 5.0, 3.0, 5.0, 4.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen3-14b,0.7,textual,zero_shot,0,,plain,34.12,1196.37,1821.16,0.0,0.165514,0.371942,0.04362,0.385786,12599,248,2.6760380268096924,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4865.93, 4892.47, 4919.01, 4945.55, 4972.09, 4998.63, 5025.17]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen3-14b,0.7,textual,zero_shot,0,,plain,199.24,4023.71,4318.17,0.0,0.122838,0.27604,0.038919,0.344204,12599,211,2.302950620651245,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[5.0, 4.0, 4.0, 6.0, 8.0, 9.0, 6.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen3-14b,0.7,textual,zero_shot,0,,plain,35.38,1231.79,1673.44,0.0,0.147994,0.332571,0.042996,0.380262,12599,247,2.6690242290496826,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4596.82, 4602.16, 4607.5, 4612.84, 4618.18, 4623.52, 4628.86]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen3-14b,0.7,textual,zero_shot,0,,plain,31.18,1034.93,1619.26,0.0,0.15533,0.349057,0.042969,0.380026,12599,241,2.608309745788574,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4895.6, 5283.4, 5632.1, 5507.3, 5020.2, 4693.5, 4290.8]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen3-14b,0.7,numeric,zero_shot,0,,csv,42.53,1675.86,2235.49,0.0,0.304258,0.683725,0.064029,0.566279,9326,245,4.903463363647461,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[5984.0, 5640.0, 5846.0, 4524.0, 4147.0, 5129.0, 5215.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen3-14b,0.7,numeric,zero_shot,0,,csv,33.55,1136.0,1589.73,0.0,0.146184,0.328503,0.037154,0.328596,9326,232,2.3805630207061768,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4658.0, 5045.0, 4516.0, 4955.0, 4753.0, 5100.0, 4249.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen3-14b,0.7,numeric,zero_shot,0,,csv,37.94,1307.57,1774.39,0.0,0.145251,0.326406,0.038981,0.344754,9326,232,2.4009737968444824,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4968.0, 5406.0, 5144.0, 4227.0, 3606.0, 1460.0, 1558.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen3-14b,0.7,numeric,zero_shot,0,,csv,63.69,2262.57,2634.81,0.0,0.141602,0.318208,0.038981,0.344758,9326,231,2.360403537750244,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4589.0, 1692.0, 1814.0, 5399.0, 5932.0, 5725.0, 5281.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen3-14b,0.7,numeric,zero_shot,0,,csv,22.74,923.29,1358.67,0.0,0.145511,0.32699,0.039917,0.353035,9326,231,2.371788024902344,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4875.0, 5920.0, 6536.0, 6040.0, 5245.0, 4482.0, 1573.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen3-14b,0.7,textual,zero_shot,0,,csv,35.14,1279.57,2021.03,0.0,0.329732,0.740971,0.067691,0.598668,10418,231,4.730989456176758,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[5461.0, 5398.0, 5342.0, 5290.0, 5246.0, 5207.0, 5175.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen3-14b,0.7,textual,zero_shot,0,,csv,34.63,1200.29,1705.7,0.0,0.145547,0.327073,0.034391,0.304156,10418,221,2.3008852005004883,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4658.0, 4932.0, 4501.0, 4698.0, 4875.0, 4816.0, 4720.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen3-14b,0.7,textual,zero_shot,0,,csv,33.08,1140.29,1781.11,0.0,0.125191,0.281328,0.036994,0.327179,10418,231,2.391121864318848,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[5149.0, 5063.0, 4978.0, 4893.0, 4808.0, 4723.0, 4638.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen3-14b,0.7,textual,zero_shot,0,,csv,41.0,1620.74,2191.52,0.0,0.158344,0.355828,0.042708,0.377714,10418,241,2.492361068725586,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[5678.4, 5923.3, 5812.1, 5701.0, 5590.2, 5479.5, 5368.7]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen3-14b,0.7,textual,zero_shot,0,,csv,34.22,1194.92,1775.13,0.0,0.136485,0.306707,0.039909,0.352963,10418,224,2.323024272918701,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4645.28, 4974.38, 4786.15, 4932.04, 4711.46, 4865.59, 5043.62]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen3-14b,0.7,numeric,cot,0,,plain,40.41,1485.71,1911.77,0.0,0.392541,0.882115,0.082095,0.726059,11620,255,5.344152450561523,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4918.0, 5638.0, 5002.0, 3770.0, 4536.0, 5209.0, 4869.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen3-14b,0.7,numeric,cot,0,,plain,35.17,1173.57,1640.76,0.0,0.134746,0.302799,0.033402,0.295413,11620,207,2.202353477478028,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4958.0, 5182.0, 4608.0, 4986.0, 4102.0, 1685.0, 1798.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,qwen3-14b,0.7,numeric,cot,0,,plain,38.44,1279.71,1729.04,0.0,0.174302,0.39169,0.045577,0.403092,11620,255,2.727435350418091,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[4985.0, 5360.0, 5223.0, 4340.0, 3793.0, 1565.0, 1876.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]"
