Prompt Type,Series Type,Format,sMAPE Mean,MAE Mean,RMSE Mean,Inference Time (s) Mean,Financial Cost ($) Mean,CarbonTracker CO2 (g) Mean,CarbonTracker Energy Consumption (Wh) Mean,Eco2AI CO2 (g) Mean,Eco2AI Energy Consumption (Wh) Mean,Input Tokens Mean,Output Tokens Mean,Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Examples,Sampling Strategy,Actual Values,Predicted Values,Prompt,sMAPE SEM,MAE SEM,RMSE SEM
cot,numeric,csv,46.646,3623.5440000000003,4318.186,43.42847900390625,0.009707,0.0438498,0.42485,0.0193678,0.17129339999999998,6449.0,154.2,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,z-ai/glm-5.1,0.7,0,,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[6250.0, 8400.0, 11200.0, 15000.0, 19500.0, 24800.0, 30500.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",20.15441405747138,2447.149385388232,2940.221568801576
cot,numeric,plain,30.502,1268.6299999999999,1431.2459999999999,46.078761625289914,0.0123094,0.04724260000000001,0.4577216,0.020039400000000002,0.1772304,8267.0,167.2,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,z-ai/glm-5.1,0.7,0,,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4358.0, 4150.0, 3982.0, 3821.0, 3694.0, 3586.0, 3492.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",10.237499401709382,530.4490309445385,564.4388129602712
cot,textual,csv,41.662,2169.4559999999997,2494.1760000000004,88.95542545318604,0.012953999999999999,0.0912734,0.8843266,0.0358192,0.3167892,8772.0,153.0,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,z-ai/glm-5.1,0.7,0,,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[3256.0, 2891.0, 2544.0, 2215.0, 1904.0, 1611.0, 1336.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",15.627282681259722,1134.8893146408595,1342.1544480483608
cot,textual,plain,10.784,313.62800000000004,395.364,30.681333112716676,0.0154992,0.0318282,0.3083764,0.0138776,0.12273579999999999,10590.0,153.0,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,z-ai/glm-5.1,0.7,0,,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4286.0, 3954.0, 3642.0, 3351.0, 3082.0, 2834.0, 2606.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",1.6839049854430626,42.553998566527206,48.92492632595371
cot_few,numeric,csv,51.278,2586.316,2906.41,32.014998865127566,0.0108846,0.0296844,0.287605,0.0149698,0.13239399999999998,7211.0,179.4,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,z-ai/glm-5.1,0.7,3,uniform,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5021.0, 5484.0, 5892.0, 6341.0, 6856.0, 7389.0, 8012.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date,value
2021-03-12 00:00:00,22854
2021-03-13 00:00:00,23285
2021-03-14 00:00:00,24882
2021-03-15 00:00:00,25320
2021-03-16 00:00:00,26291
2021-03-17 00:00:00,24492
2021-03-18 00:00:00,28903

Output (forecast):
date,value
2021-03-19 00:00:00,35871
2021-03-20 00:00:00,39726
2021-03-21 00:00:00,40953
2021-03-22 00:00:00,43846
2021-03-23 00:00:00,46951
2021-03-24 00:00:00,40715
2021-03-25 00:00:00,47262

- Example 2:
Input (history):
date,value
2021-09-03 00:00:00,47092
2021-09-04 00:00:00,45352
2021-09-05 00:00:00,42618
2021-09-06 00:00:00,42766
2021-09-07 00:00:00,38948
2021-09-08 00:00:00,31222
2021-09-09 00:00:00,37875

Output (forecast):
date,value
2021-09-10 00:00:00,43263
2021-09-11 00:00:00,34973
2021-09-12 00:00:00,33376
2021-09-13 00:00:00,28591
2021-09-14 00:00:00,27254
2021-09-15 00:00:00,25404
2021-09-16 00:00:00,27176

- Example 3:
Input (history):
date,value
2022-02-25 00:00:00,14148
2022-02-26 00:00:00,13166
2022-02-27 00:00:00,11499
2022-02-28 00:00:00,10273
2022-03-01 00:00:00,8013
2022-03-02 00:00:00,6915
2022-03-03 00:00:00,7554

Output (forecast):
date,value
2022-03-04 00:00:00,6561
2022-03-05 00:00:00,6396
2022-03-06 00:00:00,5921
2022-03-07 00:00:00,5476
2022-03-08 00:00:00,4362
2022-03-09 00:00:00,3993
2022-03-10 00:00:00,4575

[INPUT]",12.479258551692885,737.1615521417268,848.543947471196
cot_few,numeric,plain,43.676,2027.714,2277.5260000000003,31.394674682617186,0.013728399999999998,0.0293682,0.2845416,0.0147454,0.13041180000000002,9227.0,184.2,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,z-ai/glm-5.1,0.7,3,uniform,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4618.0, 5235.0, 5681.0, 5472.0, 4389.0, 3925.0, 4510.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date: 2021-03-12 00:00:00, value: 22854
date: 2021-03-13 00:00:00, value: 23285
date: 2021-03-14 00:00:00, value: 24882
date: 2021-03-15 00:00:00, value: 25320
date: 2021-03-16 00:00:00, value: 26291
date: 2021-03-17 00:00:00, value: 24492
date: 2021-03-18 00:00:00, value: 28903

Output (forecast):
date: 2021-03-19 00:00:00, value: 35871
date: 2021-03-20 00:00:00, value: 39726
date: 2021-03-21 00:00:00, value: 40953
date: 2021-03-22 00:00:00, value: 43846
date: 2021-03-23 00:00:00, value: 46951
date: 2021-03-24 00:00:00, value: 40715
date: 2021-03-25 00:00:00, value: 47262

- Example 2:
Input (history):
date: 2021-09-03 00:00:00, value: 47092
date: 2021-09-04 00:00:00, value: 45352
date: 2021-09-05 00:00:00, value: 42618
date: 2021-09-06 00:00:00, value: 42766
date: 2021-09-07 00:00:00, value: 38948
date: 2021-09-08 00:00:00, value: 31222
date: 2021-09-09 00:00:00, value: 37875

Output (forecast):
date: 2021-09-10 00:00:00, value: 43263
date: 2021-09-11 00:00:00, value: 34973
date: 2021-09-12 00:00:00, value: 33376
date: 2021-09-13 00:00:00, value: 28591
date: 2021-09-14 00:00:00, value: 27254
date: 2021-09-15 00:00:00, value: 25404
date: 2021-09-16 00:00:00, value: 27176

- Example 3:
Input (history):
date: 2022-02-25 00:00:00, value: 14148
date: 2022-02-26 00:00:00, value: 13166
date: 2022-02-27 00:00:00, value: 11499
date: 2022-02-28 00:00:00, value: 10273
date: 2022-03-01 00:00:00, value: 8013
date: 2022-03-02 00:00:00, value: 6915
date: 2022-03-03 00:00:00, value: 7554

Output (forecast):
date: 2022-03-04 00:00:00, value: 6561
date: 2022-03-05 00:00:00, value: 6396
date: 2022-03-06 00:00:00, value: 5921
date: 2022-03-07 00:00:00, value: 5476
date: 2022-03-08 00:00:00, value: 4362
date: 2022-03-09 00:00:00, value: 3993
date: 2022-03-10 00:00:00, value: 4575

[INPUT]",10.771393410325333,614.5964519064522,702.1266458239568
cot_few,textual,csv,101.24,1828.596,1888.982,40.13648791313172,0.014413599999999999,0.0373026,0.3614166,0.017562,0.1553216,9773.0,166.2,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,z-ai/glm-5.1,0.7,3,uniform,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4.0, 7.0, 2.0, 8.0, 5.0, 1.0, 0.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date,value
2021-03-12 00:00:00,2 2 8 5 4
2021-03-13 00:00:00,2 3 2 8 5
2021-03-14 00:00:00,2 4 8 8 2
2021-03-15 00:00:00,2 5 3 2 0
2021-03-16 00:00:00,2 6 2 9 1
2021-03-17 00:00:00,2 4 4 9 2
2021-03-18 00:00:00,2 8 9 0 3

Output (forecast):
date,value
2021-03-19 00:00:00,3 5 8 7 1
2021-03-20 00:00:00,3 9 7 2 6
2021-03-21 00:00:00,4 0 9 5 3
2021-03-22 00:00:00,4 3 8 4 6
2021-03-23 00:00:00,4 6 9 5 1
2021-03-24 00:00:00,4 0 7 1 5
2021-03-25 00:00:00,4 7 2 6 2

- Example 2:
Input (history):
date,value
2021-09-03 00:00:00,4 7 0 9 2
2021-09-04 00:00:00,4 5 3 5 2
2021-09-05 00:00:00,4 2 6 1 8
2021-09-06 00:00:00,4 2 7 6 6
2021-09-07 00:00:00,3 8 9 4 8
2021-09-08 00:00:00,3 1 2 2 2
2021-09-09 00:00:00,3 7 8 7 5

Output (forecast):
date,value
2021-09-10 00:00:00,4 3 2 6 3
2021-09-11 00:00:00,3 4 9 7 3
2021-09-12 00:00:00,3 3 3 7 6
2021-09-13 00:00:00,2 8 5 9 1
2021-09-14 00:00:00,2 7 2 5 4
2021-09-15 00:00:00,2 5 4 0 4
2021-09-16 00:00:00,2 7 1 7 6

- Example 3:
Input (history):
date,value
2022-02-25 00:00:00,1 4 1 4 8
2022-02-26 00:00:00,1 3 1 6 6
2022-02-27 00:00:00,1 1 4 9 9
2022-02-28 00:00:00,1 0 2 7 3
2022-03-01 00:00:00,8 0 1 3
2022-03-02 00:00:00,6 9 1 5
2022-03-03 00:00:00,7 5 5 4

Output (forecast):
date,value
2022-03-04 00:00:00,6 5 6 1
2022-03-05 00:00:00,6 3 9 6
2022-03-06 00:00:00,5 9 2 1
2022-03-07 00:00:00,5 4 7 6
2022-03-08 00:00:00,4 3 6 2
2022-03-09 00:00:00,3 9 9 3
2022-03-10 00:00:00,4 5 7 5

[INPUT]",41.09546313159154,625.040714678652,627.8178026418174
cot_few,textual,plain,92.102,1740.516,1831.9240000000002,28.605316162109375,0.017233199999999997,0.026538,0.2571194,0.011839800000000001,0.1047124,11789.0,165.6,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,z-ai/glm-5.1,0.7,3,uniform,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4131.0, 3744.0, 3392.0, 3080.0, 2792.0, 2531.0, 2295.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date: 2021-03-12 00:00:00, value: 2 2 8 5 4
date: 2021-03-13 00:00:00, value: 2 3 2 8 5
date: 2021-03-14 00:00:00, value: 2 4 8 8 2
date: 2021-03-15 00:00:00, value: 2 5 3 2 0
date: 2021-03-16 00:00:00, value: 2 6 2 9 1
date: 2021-03-17 00:00:00, value: 2 4 4 9 2
date: 2021-03-18 00:00:00, value: 2 8 9 0 3

Output (forecast):
date: 2021-03-19 00:00:00, value: 3 5 8 7 1
date: 2021-03-20 00:00:00, value: 3 9 7 2 6
date: 2021-03-21 00:00:00, value: 4 0 9 5 3
date: 2021-03-22 00:00:00, value: 4 3 8 4 6
date: 2021-03-23 00:00:00, value: 4 6 9 5 1
date: 2021-03-24 00:00:00, value: 4 0 7 1 5
date: 2021-03-25 00:00:00, value: 4 7 2 6 2

- Example 2:
Input (history):
date: 2021-09-03 00:00:00, value: 4 7 0 9 2
date: 2021-09-04 00:00:00, value: 4 5 3 5 2
date: 2021-09-05 00:00:00, value: 4 2 6 1 8
date: 2021-09-06 00:00:00, value: 4 2 7 6 6
date: 2021-09-07 00:00:00, value: 3 8 9 4 8
date: 2021-09-08 00:00:00, value: 3 1 2 2 2
date: 2021-09-09 00:00:00, value: 3 7 8 7 5

Output (forecast):
date: 2021-09-10 00:00:00, value: 4 3 2 6 3
date: 2021-09-11 00:00:00, value: 3 4 9 7 3
date: 2021-09-12 00:00:00, value: 3 3 3 7 6
date: 2021-09-13 00:00:00, value: 2 8 5 9 1
date: 2021-09-14 00:00:00, value: 2 7 2 5 4
date: 2021-09-15 00:00:00, value: 2 5 4 0 4
date: 2021-09-16 00:00:00, value: 2 7 1 7 6

- Example 3:
Input (history):
date: 2022-02-25 00:00:00, value: 1 4 1 4 8
date: 2022-02-26 00:00:00, value: 1 3 1 6 6
date: 2022-02-27 00:00:00, value: 1 1 4 9 9
date: 2022-02-28 00:00:00, value: 1 0 2 7 3
date: 2022-03-01 00:00:00, value: 8 0 1 3
date: 2022-03-02 00:00:00, value: 6 9 1 5
date: 2022-03-03 00:00:00, value: 7 5 5 4

Output (forecast):
date: 2022-03-04 00:00:00, value: 6 5 6 1
date: 2022-03-05 00:00:00, value: 6 3 9 6
date: 2022-03-06 00:00:00, value: 5 9 2 1
date: 2022-03-07 00:00:00, value: 5 4 7 6
date: 2022-03-08 00:00:00, value: 4 3 6 2
date: 2022-03-09 00:00:00, value: 3 9 9 3
date: 2022-03-10 00:00:00, value: 4 5 7 5

[INPUT]",44.017481686257334,656.5290437261706,650.7628174504133
few_shot,numeric,csv,51.082,2567.572,2970.686,32.674819469451904,0.0106946,0.030734,0.2977724,0.013741999999999999,0.1215368,7099.0,171.8,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,z-ai/glm-5.1,0.7,3,uniform,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5214.0, 5689.0, 6132.0, 6548.0, 7041.0, 7652.0, 8421.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[EXAMPLES]
- Example 1:
Input (history):
date,value
2021-03-12 00:00:00,22854
2021-03-13 00:00:00,23285
2021-03-14 00:00:00,24882
2021-03-15 00:00:00,25320
2021-03-16 00:00:00,26291
2021-03-17 00:00:00,24492
2021-03-18 00:00:00,28903

Output (forecast):
date,value
2021-03-19 00:00:00,35871
2021-03-20 00:00:00,39726
2021-03-21 00:00:00,40953
2021-03-22 00:00:00,43846
2021-03-23 00:00:00,46951
2021-03-24 00:00:00,40715
2021-03-25 00:00:00,47262

- Example 2:
Input (history):
date,value
2021-09-03 00:00:00,47092
2021-09-04 00:00:00,45352
2021-09-05 00:00:00,42618
2021-09-06 00:00:00,42766
2021-09-07 00:00:00,38948
2021-09-08 00:00:00,31222
2021-09-09 00:00:00,37875

Output (forecast):
date,value
2021-09-10 00:00:00,43263
2021-09-11 00:00:00,34973
2021-09-12 00:00:00,33376
2021-09-13 00:00:00,28591
2021-09-14 00:00:00,27254
2021-09-15 00:00:00,25404
2021-09-16 00:00:00,27176

- Example 3:
Input (history):
date,value
2022-02-25 00:00:00,14148
2022-02-26 00:00:00,13166
2022-02-27 00:00:00,11499
2022-02-28 00:00:00,10273
2022-03-01 00:00:00,8013
2022-03-02 00:00:00,6915
2022-03-03 00:00:00,7554

Output (forecast):
date,value
2022-03-04 00:00:00,6561
2022-03-05 00:00:00,6396
2022-03-06 00:00:00,5921
2022-03-07 00:00:00,5476
2022-03-08 00:00:00,4362
2022-03-09 00:00:00,3993
2022-03-10 00:00:00,4575

[INPUT]",11.812855878237066,709.9845587151877,787.2981327845251
few_shot,numeric,plain,50.778,2604.514,2828.334,102.09205989837646,0.0135264,0.10389599999999999,1.0066241999999999,0.042731200000000004,0.37791980000000003,9115.0,174.0,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,z-ai/glm-5.1,0.7,3,uniform,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5312.0, 6125.0, 7421.0, 8190.0, 7456.0, 6843.0, 7312.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[EXAMPLES]
- Example 1:
Input (history):
date: 2021-03-12 00:00:00, value: 22854
date: 2021-03-13 00:00:00, value: 23285
date: 2021-03-14 00:00:00, value: 24882
date: 2021-03-15 00:00:00, value: 25320
date: 2021-03-16 00:00:00, value: 26291
date: 2021-03-17 00:00:00, value: 24492
date: 2021-03-18 00:00:00, value: 28903

Output (forecast):
date: 2021-03-19 00:00:00, value: 35871
date: 2021-03-20 00:00:00, value: 39726
date: 2021-03-21 00:00:00, value: 40953
date: 2021-03-22 00:00:00, value: 43846
date: 2021-03-23 00:00:00, value: 46951
date: 2021-03-24 00:00:00, value: 40715
date: 2021-03-25 00:00:00, value: 47262

- Example 2:
Input (history):
date: 2021-09-03 00:00:00, value: 47092
date: 2021-09-04 00:00:00, value: 45352
date: 2021-09-05 00:00:00, value: 42618
date: 2021-09-06 00:00:00, value: 42766
date: 2021-09-07 00:00:00, value: 38948
date: 2021-09-08 00:00:00, value: 31222
date: 2021-09-09 00:00:00, value: 37875

Output (forecast):
date: 2021-09-10 00:00:00, value: 43263
date: 2021-09-11 00:00:00, value: 34973
date: 2021-09-12 00:00:00, value: 33376
date: 2021-09-13 00:00:00, value: 28591
date: 2021-09-14 00:00:00, value: 27254
date: 2021-09-15 00:00:00, value: 25404
date: 2021-09-16 00:00:00, value: 27176

- Example 3:
Input (history):
date: 2022-02-25 00:00:00, value: 14148
date: 2022-02-26 00:00:00, value: 13166
date: 2022-02-27 00:00:00, value: 11499
date: 2022-02-28 00:00:00, value: 10273
date: 2022-03-01 00:00:00, value: 8013
date: 2022-03-02 00:00:00, value: 6915
date: 2022-03-03 00:00:00, value: 7554

Output (forecast):
date: 2022-03-04 00:00:00, value: 6561
date: 2022-03-05 00:00:00, value: 6396
date: 2022-03-06 00:00:00, value: 5921
date: 2022-03-07 00:00:00, value: 5476
date: 2022-03-08 00:00:00, value: 4362
date: 2022-03-09 00:00:00, value: 3993
date: 2022-03-10 00:00:00, value: 4575

[INPUT]",13.430652776391769,868.9938291472502,986.8160069871182
