Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,z-ai/glm-5.1,0.7,numeric,zero_shot,0,,plain,6.09,206.43,249.09,0.012136,0.07205,0.698078,0.025541,0.225885,8103,180,55.75001502037048,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1620.0, 4985.0, 5315.0, 5145.0, 4650.0, 3890.0, 1660.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,z-ai/glm-5.1,0.7,numeric,zero_shot,0,,plain,6.01,225.24,352.76,0.012127,0.384741,3.727665,0.205366,1.816292,8103,178,378.3727340698242,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1601.5, 5038.6, 5278.9, 5255.4, 4325.1, 3771.8, 1530.2]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,z-ai/glm-5.1,0.7,numeric,zero_shot,0,,plain,5.1,212.14,350.21,0.012105,0.020141,0.195139,0.008954,0.079194,8103,173,21.208510398864743,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1705.0, 5025.0, 5292.0, 5266.0, 4330.0, 3763.0, 1522.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,z-ai/glm-5.1,0.7,numeric,zero_shot,0,,plain,4.6,163.71,192.15,0.012044,0.017002,0.164732,0.010394,0.091926,8103,159,18.043926000595093,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1735.0, 4993.0, 5343.0, 5103.0, 4844.0, 3962.0, 1658.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,z-ai/glm-5.1,0.7,numeric,zero_shot,0,,plain,6.64,237.0,357.66,0.012114,0.065404,0.633681,0.029112,0.257472,8103,175,68.64542198181152,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1531.0, 5025.0, 5292.0, 5266.0, 4330.0, 3763.0, 1522.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,z-ai/glm-5.1,0.7,textual,zero_shot,0,,plain,5.87,229.0,359.82,0.014265,0.024033,0.23285,0.010234,0.090511,9658,169,25.01648187637329,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1629.0, 5010.0, 5285.0, 5258.0, 4318.0, 3745.0, 1518.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,z-ai/glm-5.1,0.7,textual,zero_shot,0,,plain,9.37,275.43,391.27,0.014265,0.015442,0.149609,0.006998,0.061894,9658,169,16.547478437423706,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1262.0, 5025.0, 5292.0, 5266.0, 4330.0, 3763.0, 1522.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,z-ai/glm-5.1,0.7,textual,zero_shot,0,,plain,199.69,4026.43,4320.17,0.014256,0.040018,0.387726,0.017594,0.155601,9658,167,42.777045249938965,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1.0, 4.0, 5.0, 5.0, 4.0, 3.0, 1.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,z-ai/glm-5.1,0.7,textual,zero_shot,0,,plain,8.09,311.7,382.42,0.01423,0.024893,0.241182,0.011063,0.097846,9658,161,26.61058783531189,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1558.4, 4882.7, 5024.9, 5051.2, 4358.6, 3732.1, 1543.8]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
Wike2000,2012-07-08 00:00:00,2013-07-06 00:00:00,7,z-ai/glm-5.1,0.7,textual,zero_shot,0,,plain,5.61,239.29,361.61,0.014375,0.059309,0.574629,0.026839,0.237372,9658,194,61.941466331481934,"[1724, 5070, 5243, 5313, 5085, 4292, 1481]","[1735.0, 4827.0, 5292.0, 5266.0, 4330.0, 3763.0, 1522.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 4321.0082
- Median: 4911.5
- Standard Deviation: 1712.6011
- Minimum Value: 1262
- Maximum Value: 7068
- First Quartile (Q1): 2259.25
- Third Quartile (Q3): 5566.25
- Trend Strength (STL): 0.8938
- Seasonality Strength (STL): 0.9801

[INPUT]"
