Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,qwen/qwen3.5-397b-a17b,0.7,numeric,zero_shot,0,,plain,64.3,277.38,380.12,0.026615,0.006408,0.062081,0.005179,0.045805,48652,763,28.214367389678955,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 0.0, 92.0, 658.0, 1420.0, 1180.0, 910.0, 685.0, 620.0, 890.0, 945.0, 875.0, 830.0, 960.0, 1250.0, 1720.0, 1610.0, 1020.0, 705.0, 540.0, 485.0, 155.0, 38.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,qwen/qwen3.5-397b-a17b,0.7,numeric,zero_shot,0,,plain,24.26,116.29,183.51,0.026978,0.006348,0.061506,0.007471,0.066072,48652,884,27.596734046936035,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 85.0, 650.0, 1450.0, 1180.0, 890.0, 640.0, 610.0, 860.0, 940.0, 820.0, 850.0, 1050.0, 1320.0, 1780.0, 1680.0, 1020.0, 690.0, 540.0, 480.0, 155.0, 38.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,qwen/qwen3.5-397b-a17b,0.7,numeric,zero_shot,0,,plain,25.29,118.75,187.32,0.026618,0.005745,0.055664,0.00489,0.043252,48652,764,25.55645751953125,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 102.0, 745.0, 1580.0, 1280.0, 910.0, 675.0, 620.0, 890.0, 960.0, 810.0, 840.0, 980.0, 1320.0, 1790.0, 1680.0, 1050.0, 730.0, 540.0, 490.0, 155.0, 48.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,qwen/qwen3.5-397b-a17b,0.7,numeric,zero_shot,0,,plain,23.47,104.62,171.14,0.026615,0.006792,0.065808,0.007665,0.06779,48652,763,28.48020815849304,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 85.0, 640.0, 1480.0, 1150.0, 890.0, 660.0, 610.0, 850.0, 940.0, 810.0, 830.0, 960.0, 1250.0, 1720.0, 1610.0, 1020.0, 700.0, 540.0, 490.0, 155.0, 38.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,qwen/qwen3.5-397b-a17b,0.7,numeric,zero_shot,0,,plain,25.51,125.92,194.25,0.026618,0.009027,0.087463,0.007004,0.061945,48652,764,39.799734592437744,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 85.0, 680.0, 1450.0, 1180.0, 910.0, 660.0, 610.0, 890.0, 940.0, 850.0, 880.0, 1020.0, 1340.0, 1790.0, 1680.0, 1050.0, 730.0, 580.0, 510.0, 160.0, 38.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,qwen/qwen3.5-397b-a17b,0.7,textual,zero_shot,0,,plain,64.47,284.21,381.5,0.028153,0.005686,0.055088,0.003472,0.030704,51727,763,24.226341724395752,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 0.0, 98.0, 721.0, 1543.0, 1189.0, 892.0, 674.0, 618.0, 845.0, 931.0, 758.0, 794.0, 962.0, 1245.0, 1782.0, 1628.0, 1015.0, 708.0, 541.0, 467.0, 139.0, 42.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,qwen/qwen3.5-397b-a17b,0.7,textual,zero_shot,0,,plain,64.2,277.96,378.33,0.028297,0.008986,0.087062,0.010209,0.09029,51727,811,38.11751627922058,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 0.0, 92.0, 685.0, 1450.0, 1180.0, 910.0, 695.0, 620.0, 890.0, 940.0, 785.0, 790.0, 960.0, 1240.0, 1720.0, 1610.0, 1020.0, 705.0, 540.0, 485.0, 135.0, 38.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,qwen/qwen3.5-397b-a17b,0.7,textual,zero_shot,0,,plain,65.21,285.21,386.11,0.027922,0.00379,0.036719,0.002399,0.021221,51727,686,16.69638681411743,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 0.0, 88.0, 668.0, 1432.0, 1172.0, 889.0, 637.0, 624.0, 824.0, 946.0, 832.0, 781.0, 934.0, 1275.0, 1731.0, 1621.0, 1033.0, 738.0, 567.0, 498.0, 156.0, 38.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,qwen/qwen3.5-397b-a17b,0.7,textual,zero_shot,0,,plain,64.91,282.38,388.0,0.028153,0.006187,0.059949,0.003515,0.03109,51727,763,26.80555725097656,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 0.0, 85.0, 650.0, 1420.0, 1150.0, 890.0, 680.0, 610.0, 840.0, 950.0, 820.0, 790.0, 960.0, 1280.0, 1750.0, 1620.0, 1050.0, 730.0, 580.0, 490.0, 155.0, 38.0, 0.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
Traffic,2018-01-10 03:00:00,2018-03-21 02:00:00,24,qwen/qwen3.5-397b-a17b,0.7,textual,zero_shot,0,,plain,90.41,440.92,570.12,0.028444,0.005905,0.057215,0.003513,0.031067,51727,860,25.84943580627441,"[0, 95, 667, 1497, 1305, 944, 592, 677, 827, 940, 803, 818, 913, 1218, 1466, 1201, 614, 595, 213, 120, 56, 16, 0, 0]","[0.0, 0.0, 0.0, 87.0, 670.0, 1500.0, 1100.0, 850.0, 680.0, 610.0, 890.0, 1020.0, 830.0, 840.0, 1050.0, 1450.0, 1820.0, 1600.0, 950.0, 680.0, 540.0, 480.0, 150.0, 40.0]","[OBJECTIVE]
Predict the next 24 values based on the historical series (1680 periods).

[STATISTICAL CONTEXT]
- Mean: 597.7958
- Median: 574.0
- Standard Deviation: 466.0001
- Minimum Value: 0
- Maximum Value: 2019
- First Quartile (Q1): 169.0
- Third Quartile (Q3): 876.0
- Trend Strength (STL): 0.7209
- Seasonality Strength (STL): 0.937

[INPUT]"
