Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Retail,2017-01-01 00:00:00,2017-12-30 00:00:00,7,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,plain,65.22,34.34,39.46,0.001805,0.0,0.0,8.2e-05,0.000729,8656,3431,29.2058162689209,"[78.43500000000004, 0.0, 125.11999999999998, 45.54, 46.365, 39.96, 41.655]","[70.1202, 70.1202, 70.1202, 70.1202, 70.1202, 70.1202, 70.1202]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 70.1202
- Median: 47.26
- Standard Deviation: 47.772
- Minimum Value: 0.0
- Maximum Value: 243.18
- First Quartile (Q1): 36.8788
- Third Quartile (Q3): 102.9538
- Trend Strength (STL): 0.2764
- Seasonality Strength (STL): 0.9071

[INPUT]"
Retail,2017-01-01 00:00:00,2017-12-30 00:00:00,7,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,plain,62.52,32.81,39.11,0.001668,0.0,0.0,7.4e-05,0.000656,8656,3089,26.00926351547241,"[78.43500000000004, 0.0, 125.11999999999998, 45.54, 46.365, 39.96, 41.655]","[74.71, 73.27, 71.83, 70.39, 68.95, 67.51, 66.07]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 70.1202
- Median: 47.26
- Standard Deviation: 47.772
- Minimum Value: 0.0
- Maximum Value: 243.18
- First Quartile (Q1): 36.8788
- Third Quartile (Q3): 102.9538
- Trend Strength (STL): 0.2764
- Seasonality Strength (STL): 0.9071

[INPUT]"
Retail,2017-01-01 00:00:00,2017-12-30 00:00:00,7,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,plain,67.34,36.89,42.23,0.00152,0.0,0.0,7.3e-05,0.000646,8656,2719,25.59467101097107,"[78.43500000000004, 0.0, 125.11999999999998, 45.54, 46.365, 39.96, 41.655]","[76.15, 75.95, 76.6, 75.75, 76.25, 76.4, 76.6]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 70.1202
- Median: 47.26
- Standard Deviation: 47.772
- Minimum Value: 0.0
- Maximum Value: 243.18
- First Quartile (Q1): 36.8788
- Third Quartile (Q3): 102.9538
- Trend Strength (STL): 0.2764
- Seasonality Strength (STL): 0.9071

[INPUT]"
Retail,2017-01-01 00:00:00,2017-12-30 00:00:00,7,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,plain,65.31,34.41,39.46,0.001361,0.0,0.0,6.2e-05,0.000548,8656,2321,21.62971353530884,"[78.43500000000004, 0.0, 125.11999999999998, 45.54, 46.365, 39.96, 41.655]","[70.5, 70.1, 70.8, 70.3, 70.6, 70.2, 70.9]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 70.1202
- Median: 47.26
- Standard Deviation: 47.772
- Minimum Value: 0.0
- Maximum Value: 243.18
- First Quartile (Q1): 36.8788
- Third Quartile (Q3): 102.9538
- Trend Strength (STL): 0.2764
- Seasonality Strength (STL): 0.9071

[INPUT]"
Retail,2017-01-01 00:00:00,2017-12-30 00:00:00,7,gpt-5-nano-2025-08-07,1,numeric,zero_shot,0,,plain,65.32,35.22,41.47,0.001393,0.0,0.0,6.1e-05,0.000544,8656,2400,21.407338619232178,"[78.43500000000004, 0.0, 125.11999999999998, 45.54, 46.365, 39.96, 41.655]","[78.5, 75.2, 72.4, 69.9, 71.75, 74.3, 76.1]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 70.1202
- Median: 47.26
- Standard Deviation: 47.772
- Minimum Value: 0.0
- Maximum Value: 243.18
- First Quartile (Q1): 36.8788
- Third Quartile (Q3): 102.9538
- Trend Strength (STL): 0.2764
- Seasonality Strength (STL): 0.9071

[INPUT]"
Retail,2017-01-01 00:00:00,2017-12-30 00:00:00,7,gpt-5-nano-2025-08-07,1,textual,zero_shot,0,,plain,27.87,15.17,20.33,0.001868,0.0,0.0,7.8e-05,0.000692,10992,3296,27.35721015930176,"[78.43500000000004, 0.0, 125.11999999999998, 45.54, 46.365, 39.96, 41.655]","[84.815, 0.0, 119.15, 40.175, 27.865, 75.41, 76.15]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 70.1202
- Median: 47.26
- Standard Deviation: 47.772
- Minimum Value: 0.0
- Maximum Value: 243.18
- First Quartile (Q1): 36.8788
- Third Quartile (Q3): 102.9538
- Trend Strength (STL): 0.2764
- Seasonality Strength (STL): 0.9071

[INPUT]"
Retail,2017-01-01 00:00:00,2017-12-30 00:00:00,7,gpt-5-nano-2025-08-07,1,textual,zero_shot,0,,plain,97.64,53.71,65.62,0.002144,0.0,0.0,9.6e-05,0.000853,10992,3985,33.80226731300354,"[78.43500000000004, 0.0, 125.11999999999998, 45.54, 46.365, 39.96, 41.655]","[0.0, 119.15, 40.175, 27.865, 75.41, 76.15, 52.2]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 70.1202
- Median: 47.26
- Standard Deviation: 47.772
- Minimum Value: 0.0
- Maximum Value: 243.18
- First Quartile (Q1): 36.8788
- Third Quartile (Q3): 102.9538
- Trend Strength (STL): 0.2764
- Seasonality Strength (STL): 0.9071

[INPUT]"
Retail,2017-01-01 00:00:00,2017-12-30 00:00:00,7,gpt-5-nano-2025-08-07,1,textual,zero_shot,0,,plain,59.03,30.23,37.53,0.002067,0.0,0.0,0.000433,0.003831,10992,3793,36.86570119857788,"[78.43500000000004, 0.0, 125.11999999999998, 45.54, 46.365, 39.96, 41.655]","[73.81, 71.46, 69.12, 66.77, 64.43, 62.08, 59.74]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 70.1202
- Median: 47.26
- Standard Deviation: 47.772
- Minimum Value: 0.0
- Maximum Value: 243.18
- First Quartile (Q1): 36.8788
- Third Quartile (Q3): 102.9538
- Trend Strength (STL): 0.2764
- Seasonality Strength (STL): 0.9071

[INPUT]"
Retail,2017-01-01 00:00:00,2017-12-30 00:00:00,7,gpt-5-nano-2025-08-07,1,textual,zero_shot,0,,plain,69.48,38.59,43.51,0.001606,0.0,0.0,6.6e-05,0.000588,10992,2641,23.12976884841919,"[78.43500000000004, 0.0, 125.11999999999998, 45.54, 46.365, 39.96, 41.655]","[74.2, 75.6, 73.5, 76.8, 78.1, 79.4, 77.9]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 70.1202
- Median: 47.26
- Standard Deviation: 47.772
- Minimum Value: 0.0
- Maximum Value: 243.18
- First Quartile (Q1): 36.8788
- Third Quartile (Q3): 102.9538
- Trend Strength (STL): 0.2764
- Seasonality Strength (STL): 0.9071

[INPUT]"
Retail,2017-01-01 00:00:00,2017-12-30 00:00:00,7,gpt-5-nano-2025-08-07,1,textual,zero_shot,0,,plain,66.42,35.53,40.75,0.002323,0.0,0.0,0.000111,0.00098,10992,4433,38.81860017776489,"[78.43500000000004, 0.0, 125.11999999999998, 45.54, 46.365, 39.96, 41.655]","[69.8, 72.1, 68.5, 71.3, 70.7, 73.0, 69.9]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 70.1202
- Median: 47.26
- Standard Deviation: 47.772
- Minimum Value: 0.0
- Maximum Value: 243.18
- First Quartile (Q1): 36.8788
- Third Quartile (Q3): 102.9538
- Trend Strength (STL): 0.2764
- Seasonality Strength (STL): 0.9071

[INPUT]"
