Prompt Type,Series Type,Format,sMAPE Mean,MAE Mean,RMSE Mean,Inference Time (s) Mean,Financial Cost ($) Mean,CarbonTracker CO2 (g) Mean,CarbonTracker Energy Consumption (Wh) Mean,Eco2AI CO2 (g) Mean,Eco2AI Energy Consumption (Wh) Mean,Input Tokens Mean,Output Tokens Mean,Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Examples,Sampling Strategy,Actual Values,Predicted Values,Prompt,sMAPE SEM,MAE SEM,RMSE SEM
cot,numeric,csv,161.098,2749.0860000000002,2840.032,2.31081166267395,0.0,0.0194108,0.1880684,0.0181504,0.160523,6199.0,164.2,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,0,,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4000.0, 4200.0, 4100.0, 4050.0, 3952.9, 3800.75, 3652.23]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",35.00472702364639,506.97504057497736,491.49331678467405
cot,numeric,plain,83.72999999999999,1625.0,1814.476,1.946245002746582,0.0,0.016694800000000003,0.16175319999999999,0.0165318,0.1462074,8380.0,167.6,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,0,,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5.0, 9.0, 15.0, 6.0, 2.0, 7.0, 12.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",32.217341293160736,475.09417049675534,473.13673472475165
cot,textual,csv,178.38,80268.944,82833.462,1.6467305183410645,0.0,0.0152566,0.14782040000000002,0.0187726,0.1660284,8839.0,167.6,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,0,,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[332.0, 311.0, 5.0, 45.0, 78.0, 9.0, 123.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",10.053019446912451,66645.9269174277,66112.75041931981
cot,textual,plain,198.994,3285.6520000000005,3351.7580000000003,1.9970364570617676,0.0,0.017149199999999996,0.16615560000000001,0.019574,0.17311580000000001,11020.0,155.4,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,0,,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5.0, 4.0, 6.0, 3.0, 7.0, 2.0, 5.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[INPUT]",0.4443827179357898,3.213747656553032,2.7878116866101923
cot_few,numeric,csv,171.692,3196.8379999999997,3313.542,2.554107904434204,0.0,0.02198,0.212962,0.0178122,0.15753140000000002,6932.0,177.6,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,3,uniform,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[1.0, 2.0, 3.0, 5.0, 0.0, 8.6, 2.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date,value
2021-03-12 00:00:00,22854
2021-03-13 00:00:00,23285
2021-03-14 00:00:00,24882
2021-03-15 00:00:00,25320
2021-03-16 00:00:00,26291
2021-03-17 00:00:00,24492
2021-03-18 00:00:00,28903

Output (forecast):
date,value
2021-03-19 00:00:00,35871
2021-03-20 00:00:00,39726
2021-03-21 00:00:00,40953
2021-03-22 00:00:00,43846
2021-03-23 00:00:00,46951
2021-03-24 00:00:00,40715
2021-03-25 00:00:00,47262

- Example 2:
Input (history):
date,value
2021-09-03 00:00:00,47092
2021-09-04 00:00:00,45352
2021-09-05 00:00:00,42618
2021-09-06 00:00:00,42766
2021-09-07 00:00:00,38948
2021-09-08 00:00:00,31222
2021-09-09 00:00:00,37875

Output (forecast):
date,value
2021-09-10 00:00:00,43263
2021-09-11 00:00:00,34973
2021-09-12 00:00:00,33376
2021-09-13 00:00:00,28591
2021-09-14 00:00:00,27254
2021-09-15 00:00:00,25404
2021-09-16 00:00:00,27176

- Example 3:
Input (history):
date,value
2022-02-25 00:00:00,14148
2022-02-26 00:00:00,13166
2022-02-27 00:00:00,11499
2022-02-28 00:00:00,10273
2022-03-01 00:00:00,8013
2022-03-02 00:00:00,6915
2022-03-03 00:00:00,7554

Output (forecast):
date,value
2022-03-04 00:00:00,6561
2022-03-05 00:00:00,6396
2022-03-06 00:00:00,5921
2022-03-07 00:00:00,5476
2022-03-08 00:00:00,4362
2022-03-09 00:00:00,3993
2022-03-10 00:00:00,4575

[INPUT]",27.98552239998389,94.17489503046978,43.333827825383686
cot_few,numeric,plain,80.75999999999999,1646.4299999999998,1831.5040000000001,1.8929573059082032,0.0,0.0161402,0.1563758,0.017725,0.1567618,9347.0,167.0,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,3,uniform,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4759.0, 4254.0, 3888.0, 3531.0, 2990.0, 2526.0, 2137.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date: 2021-03-12 00:00:00, value: 22854
date: 2021-03-13 00:00:00, value: 23285
date: 2021-03-14 00:00:00, value: 24882
date: 2021-03-15 00:00:00, value: 25320
date: 2021-03-16 00:00:00, value: 26291
date: 2021-03-17 00:00:00, value: 24492
date: 2021-03-18 00:00:00, value: 28903

Output (forecast):
date: 2021-03-19 00:00:00, value: 35871
date: 2021-03-20 00:00:00, value: 39726
date: 2021-03-21 00:00:00, value: 40953
date: 2021-03-22 00:00:00, value: 43846
date: 2021-03-23 00:00:00, value: 46951
date: 2021-03-24 00:00:00, value: 40715
date: 2021-03-25 00:00:00, value: 47262

- Example 2:
Input (history):
date: 2021-09-03 00:00:00, value: 47092
date: 2021-09-04 00:00:00, value: 45352
date: 2021-09-05 00:00:00, value: 42618
date: 2021-09-06 00:00:00, value: 42766
date: 2021-09-07 00:00:00, value: 38948
date: 2021-09-08 00:00:00, value: 31222
date: 2021-09-09 00:00:00, value: 37875

Output (forecast):
date: 2021-09-10 00:00:00, value: 43263
date: 2021-09-11 00:00:00, value: 34973
date: 2021-09-12 00:00:00, value: 33376
date: 2021-09-13 00:00:00, value: 28591
date: 2021-09-14 00:00:00, value: 27254
date: 2021-09-15 00:00:00, value: 25404
date: 2021-09-16 00:00:00, value: 27176

- Example 3:
Input (history):
date: 2022-02-25 00:00:00, value: 14148
date: 2022-02-26 00:00:00, value: 13166
date: 2022-02-27 00:00:00, value: 11499
date: 2022-02-28 00:00:00, value: 10273
date: 2022-03-01 00:00:00, value: 8013
date: 2022-03-02 00:00:00, value: 6915
date: 2022-03-03 00:00:00, value: 7554

Output (forecast):
date: 2022-03-04 00:00:00, value: 6561
date: 2022-03-05 00:00:00, value: 6396
date: 2022-03-06 00:00:00, value: 5921
date: 2022-03-07 00:00:00, value: 5476
date: 2022-03-08 00:00:00, value: 4362
date: 2022-03-09 00:00:00, value: 3993
date: 2022-03-10 00:00:00, value: 4575

[INPUT]",34.21949122941485,492.5458835986755,517.7415322011553
cot_few,textual,csv,192.784,6046.5,10162.112000000001,2.0824888706207276,0.0,0.015315800000000001,0.14839,0.016338,0.14449459999999997,9846.0,176.2,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,3,uniform,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[6.0, 4.0, 20.0, 3.0, 24.0, 10.0, 3.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date,value
2021-03-12 00:00:00,2 2 8 5 4
2021-03-13 00:00:00,2 3 2 8 5
2021-03-14 00:00:00,2 4 8 8 2
2021-03-15 00:00:00,2 5 3 2 0
2021-03-16 00:00:00,2 6 2 9 1
2021-03-17 00:00:00,2 4 4 9 2
2021-03-18 00:00:00,2 8 9 0 3

Output (forecast):
date,value
2021-03-19 00:00:00,3 5 8 7 1
2021-03-20 00:00:00,3 9 7 2 6
2021-03-21 00:00:00,4 0 9 5 3
2021-03-22 00:00:00,4 3 8 4 6
2021-03-23 00:00:00,4 6 9 5 1
2021-03-24 00:00:00,4 0 7 1 5
2021-03-25 00:00:00,4 7 2 6 2

- Example 2:
Input (history):
date,value
2021-09-03 00:00:00,4 7 0 9 2
2021-09-04 00:00:00,4 5 3 5 2
2021-09-05 00:00:00,4 2 6 1 8
2021-09-06 00:00:00,4 2 7 6 6
2021-09-07 00:00:00,3 8 9 4 8
2021-09-08 00:00:00,3 1 2 2 2
2021-09-09 00:00:00,3 7 8 7 5

Output (forecast):
date,value
2021-09-10 00:00:00,4 3 2 6 3
2021-09-11 00:00:00,3 4 9 7 3
2021-09-12 00:00:00,3 3 3 7 6
2021-09-13 00:00:00,2 8 5 9 1
2021-09-14 00:00:00,2 7 2 5 4
2021-09-15 00:00:00,2 5 4 0 4
2021-09-16 00:00:00,2 7 1 7 6

- Example 3:
Input (history):
date,value
2022-02-25 00:00:00,1 4 1 4 8
2022-02-26 00:00:00,1 3 1 6 6
2022-02-27 00:00:00,1 1 4 9 9
2022-02-28 00:00:00,1 0 2 7 3
2022-03-01 00:00:00,8 0 1 3
2022-03-02 00:00:00,6 9 1 5
2022-03-03 00:00:00,7 5 5 4

Output (forecast):
date,value
2022-03-04 00:00:00,6 5 6 1
2022-03-05 00:00:00,6 3 9 6
2022-03-06 00:00:00,5 9 2 1
2022-03-07 00:00:00,5 4 7 6
2022-03-08 00:00:00,4 3 6 2
2022-03-09 00:00:00,3 9 9 3
2022-03-10 00:00:00,4 5 7 5

[INPUT]",6.495565872193121,2758.682729760709,6808.449563254765
cot_few,textual,plain,199.33800000000002,3288.4,3354.3779999999997,1.6225785732269287,0.0,0.016323999999999998,0.1581594,0.0199794,0.1767004,12261.0,159.0,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,3,uniform,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[REASONING GUIDELINES]
- Trend: Identify the overall direction (increasing, decreasing, stable) and the trend strength.
- Seasonality: Patterns that repeat at regular intervals (e.g., daily, weekly, monthly).
- Outliers: Possible outliers or abrupt changes.
- Cycles: Not seasonal long-term patterns.
- Noise reduction: Apply a technique to reduce noise when necessary.
- Consistency with the provided descriptive statistics (mean, median, etc.).
- Adjustment for data frequency and contextual events (holidays, promotions, etc.).

[EXAMPLES]
- Example 1:
Input (history):
date: 2021-03-12 00:00:00, value: 2 2 8 5 4
date: 2021-03-13 00:00:00, value: 2 3 2 8 5
date: 2021-03-14 00:00:00, value: 2 4 8 8 2
date: 2021-03-15 00:00:00, value: 2 5 3 2 0
date: 2021-03-16 00:00:00, value: 2 6 2 9 1
date: 2021-03-17 00:00:00, value: 2 4 4 9 2
date: 2021-03-18 00:00:00, value: 2 8 9 0 3

Output (forecast):
date: 2021-03-19 00:00:00, value: 3 5 8 7 1
date: 2021-03-20 00:00:00, value: 3 9 7 2 6
date: 2021-03-21 00:00:00, value: 4 0 9 5 3
date: 2021-03-22 00:00:00, value: 4 3 8 4 6
date: 2021-03-23 00:00:00, value: 4 6 9 5 1
date: 2021-03-24 00:00:00, value: 4 0 7 1 5
date: 2021-03-25 00:00:00, value: 4 7 2 6 2

- Example 2:
Input (history):
date: 2021-09-03 00:00:00, value: 4 7 0 9 2
date: 2021-09-04 00:00:00, value: 4 5 3 5 2
date: 2021-09-05 00:00:00, value: 4 2 6 1 8
date: 2021-09-06 00:00:00, value: 4 2 7 6 6
date: 2021-09-07 00:00:00, value: 3 8 9 4 8
date: 2021-09-08 00:00:00, value: 3 1 2 2 2
date: 2021-09-09 00:00:00, value: 3 7 8 7 5

Output (forecast):
date: 2021-09-10 00:00:00, value: 4 3 2 6 3
date: 2021-09-11 00:00:00, value: 3 4 9 7 3
date: 2021-09-12 00:00:00, value: 3 3 3 7 6
date: 2021-09-13 00:00:00, value: 2 8 5 9 1
date: 2021-09-14 00:00:00, value: 2 7 2 5 4
date: 2021-09-15 00:00:00, value: 2 5 4 0 4
date: 2021-09-16 00:00:00, value: 2 7 1 7 6

- Example 3:
Input (history):
date: 2022-02-25 00:00:00, value: 1 4 1 4 8
date: 2022-02-26 00:00:00, value: 1 3 1 6 6
date: 2022-02-27 00:00:00, value: 1 1 4 9 9
date: 2022-02-28 00:00:00, value: 1 0 2 7 3
date: 2022-03-01 00:00:00, value: 8 0 1 3
date: 2022-03-02 00:00:00, value: 6 9 1 5
date: 2022-03-03 00:00:00, value: 7 5 5 4

Output (forecast):
date: 2022-03-04 00:00:00, value: 6 5 6 1
date: 2022-03-05 00:00:00, value: 6 3 9 6
date: 2022-03-06 00:00:00, value: 5 9 2 1
date: 2022-03-07 00:00:00, value: 5 4 7 6
date: 2022-03-08 00:00:00, value: 4 3 6 2
date: 2022-03-09 00:00:00, value: 3 9 9 3
date: 2022-03-10 00:00:00, value: 4 5 7 5

[INPUT]",0.06909413868050028,0.4774306232322895,0.40422023699958437
few_shot,numeric,csv,159.10399999999998,2655.494,2749.3900000000003,2.3299013614654536,0.0,0.0211178,0.20460620000000002,0.0180202,0.1593756,6819.0,170.8,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,3,uniform,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[0.0, 2.0, 3.0, 4.0, 5.0, 1.0, -2.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[EXAMPLES]
- Example 1:
Input (history):
date,value
2021-03-12 00:00:00,22854
2021-03-13 00:00:00,23285
2021-03-14 00:00:00,24882
2021-03-15 00:00:00,25320
2021-03-16 00:00:00,26291
2021-03-17 00:00:00,24492
2021-03-18 00:00:00,28903

Output (forecast):
date,value
2021-03-19 00:00:00,35871
2021-03-20 00:00:00,39726
2021-03-21 00:00:00,40953
2021-03-22 00:00:00,43846
2021-03-23 00:00:00,46951
2021-03-24 00:00:00,40715
2021-03-25 00:00:00,47262

- Example 2:
Input (history):
date,value
2021-09-03 00:00:00,47092
2021-09-04 00:00:00,45352
2021-09-05 00:00:00,42618
2021-09-06 00:00:00,42766
2021-09-07 00:00:00,38948
2021-09-08 00:00:00,31222
2021-09-09 00:00:00,37875

Output (forecast):
date,value
2021-09-10 00:00:00,43263
2021-09-11 00:00:00,34973
2021-09-12 00:00:00,33376
2021-09-13 00:00:00,28591
2021-09-14 00:00:00,27254
2021-09-15 00:00:00,25404
2021-09-16 00:00:00,27176

- Example 3:
Input (history):
date,value
2022-02-25 00:00:00,14148
2022-02-26 00:00:00,13166
2022-02-27 00:00:00,11499
2022-02-28 00:00:00,10273
2022-03-01 00:00:00,8013
2022-03-02 00:00:00,6915
2022-03-03 00:00:00,7554

Output (forecast):
date,value
2022-03-04 00:00:00,6561
2022-03-05 00:00:00,6396
2022-03-06 00:00:00,5921
2022-03-07 00:00:00,5476
2022-03-08 00:00:00,4362
2022-03-09 00:00:00,3993
2022-03-10 00:00:00,4575

[INPUT]",36.13622705817529,570.3727042960593,544.0355307790106
few_shot,numeric,plain,101.494,2293.4900000000002,2450.9399999999996,2.3815184593200684,0.0,0.0197438,0.1912916,0.0206668,0.1827808,9234.0,183.2,Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-120b,0.7,3,uniform,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5060.0, 5585.0, 6133.0, 6699.0, 7286.0, 7897.0, 8524.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[EXAMPLES]
- Example 1:
Input (history):
date: 2021-03-12 00:00:00, value: 22854
date: 2021-03-13 00:00:00, value: 23285
date: 2021-03-14 00:00:00, value: 24882
date: 2021-03-15 00:00:00, value: 25320
date: 2021-03-16 00:00:00, value: 26291
date: 2021-03-17 00:00:00, value: 24492
date: 2021-03-18 00:00:00, value: 28903

Output (forecast):
date: 2021-03-19 00:00:00, value: 35871
date: 2021-03-20 00:00:00, value: 39726
date: 2021-03-21 00:00:00, value: 40953
date: 2021-03-22 00:00:00, value: 43846
date: 2021-03-23 00:00:00, value: 46951
date: 2021-03-24 00:00:00, value: 40715
date: 2021-03-25 00:00:00, value: 47262

- Example 2:
Input (history):
date: 2021-09-03 00:00:00, value: 47092
date: 2021-09-04 00:00:00, value: 45352
date: 2021-09-05 00:00:00, value: 42618
date: 2021-09-06 00:00:00, value: 42766
date: 2021-09-07 00:00:00, value: 38948
date: 2021-09-08 00:00:00, value: 31222
date: 2021-09-09 00:00:00, value: 37875

Output (forecast):
date: 2021-09-10 00:00:00, value: 43263
date: 2021-09-11 00:00:00, value: 34973
date: 2021-09-12 00:00:00, value: 33376
date: 2021-09-13 00:00:00, value: 28591
date: 2021-09-14 00:00:00, value: 27254
date: 2021-09-15 00:00:00, value: 25404
date: 2021-09-16 00:00:00, value: 27176

- Example 3:
Input (history):
date: 2022-02-25 00:00:00, value: 14148
date: 2022-02-26 00:00:00, value: 13166
date: 2022-02-27 00:00:00, value: 11499
date: 2022-02-28 00:00:00, value: 10273
date: 2022-03-01 00:00:00, value: 8013
date: 2022-03-02 00:00:00, value: 6915
date: 2022-03-03 00:00:00, value: 7554

Output (forecast):
date: 2022-03-04 00:00:00, value: 6561
date: 2022-03-05 00:00:00, value: 6396
date: 2022-03-06 00:00:00, value: 5921
date: 2022-03-07 00:00:00, value: 5476
date: 2022-03-08 00:00:00, value: 4362
date: 2022-03-09 00:00:00, value: 3993
date: 2022-03-10 00:00:00, value: 4575

[INPUT]",40.72813383890796,645.4478984085393,670.3770007838873
