Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-20b,0.7,numeric,zero_shot,0,,plain,199.56,3290.29,3356.36,0.0,0.020347,0.197136,0.018302,0.161862,8267,152,2.730787754058838,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[1.0, 2.0, 3.0, 0.0, 4.0, 1.0, 12.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-20b,0.7,numeric,zero_shot,0,,plain,160.49,37741.57,44829.82,0.0,0.003202,0.031019,0.0084,0.074293,8267,130,0.739356279373169,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[16764.0, 22775.0, 27553.0, 33750.0, 37379.0, 58097.0, 90928.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-20b,0.7,numeric,zero_shot,0,,plain,200.0,3293.57,3359.36,0.0,0.003305,0.032023,0.005733,0.050703,8267,136,0.7562005519866943,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-20b,0.7,numeric,zero_shot,0,,plain,118.31,9503.57,9571.15,0.0,0.003242,0.031411,0.006805,0.060181,8267,136,0.744988203048706,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[12030.0, 12300.0, 12550.0, 12800.0, 13050.0, 13300.0, 13550.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-20b,0.7,numeric,zero_shot,0,,plain,169.71,33395.14,77947.61,0.0,0.003215,0.031147,0.007526,0.066557,8267,139,0.7456269264221191,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[16764.0, 209918.0, 8013.0, 0.0, 0.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-20b,0.7,textual,zero_shot,0,,plain,149.33,2756.69,2936.22,0.0,0.036161,0.350358,0.022688,0.200656,10907,205,4.360165119171143,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[10.0, 30.0, 1218.0, 1240.0, 1231.0, 19.0, 10.2]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-20b,0.7,textual,zero_shot,0,,plain,199.25,3287.57,3353.41,0.0,0.002637,0.025546,0.007192,0.063604,10907,121,0.6678159236907959,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[8.0, 6.0, 5.0, 7.0, 9.0, 4.0, 3.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-20b,0.7,textual,zero_shot,0,,plain,199.39,3288.71,3354.6,0.0,0.003255,0.031538,0.005915,0.052313,10907,136,0.7526497840881348,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[2.0, 5.0, 6.0, 9.0, 4.0, 1.0, 7.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-20b,0.7,textual,zero_shot,0,,plain,200.0,3293.57,3359.36,0.0,0.003286,0.031836,0.006803,0.060163,10907,137,0.7603137493133545,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-20b,0.7,textual,zero_shot,0,,plain,199.53,3289.71,3355.43,0.0,0.003241,0.031397,0.008142,0.072006,10907,140,0.7501623630523682,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[6.0, 5.0, 4.0, 3.0, 8.0, 1.0, 0.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-20b,0.7,numeric,zero_shot,0,,csv,153.37,21853.14,21981.54,0.0,0.010687,0.10354,0.019041,0.168402,6086,132,1.460003137588501,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[22854.0, 23285.0, 24882.0, 25320.0, 26291.0, 24492.0, 28903.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,openai/gpt-oss-20b,0.7,numeric,zero_shot,0,,csv,153.37,21853.14,21981.54,0.0,0.002986,0.02893,0.00875,0.077389,6086,129,0.6893165111541748,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[22854.0, 23285.0, 24882.0, 25320.0, 26291.0, 24492.0, 28903.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
