Dataset,Training Start,Training End,Forecast Horizon,Model,Temperature,Series Type,Prompt Type,Examples,Sampling Strategy,Format,sMAPE,MAE,RMSE,Financial Cost ($),CarbonTracker CO2 (g),CarbonTracker Energy Consumption (Wh),Eco2AI CO2 (g),Eco2AI Energy Consumption (Wh),Input Tokens,Output Tokens,Inference Time (s),Actual Values,Predicted Values,Prompt
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gemma-3-12b-it,0.7,numeric,zero_shot,0,,plain,54.65,2449.57,2708.36,0.0,0.402462,0.904408,0.125603,1.110853,11926,221,7.653863906860352,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4985.0, 5265.0, 5472.0, 5667.0, 5756.0, 6238.0, 6819.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gemma-3-12b-it,0.7,numeric,zero_shot,0,,plain,60.27,2914.71,3340.57,0.0,0.165439,0.371774,0.045715,0.404306,11926,238,3.0233161449432373,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4958.0, 5172.0, 5389.0, 6148.0, 6689.0, 7230.0, 7872.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gemma-3-12b-it,0.7,numeric,zero_shot,0,,plain,78.54,4496.71,5002.66,0.0,0.183449,0.412246,0.045965,0.406526,11926,239,3.034346580505371,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5498.0, 6173.0, 7145.0, 7748.0, 8156.0, 9281.0, 10531.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gemma-3-12b-it,0.7,numeric,zero_shot,0,,plain,49.91,2126.71,2311.78,0.0,0.141744,0.318526,0.038448,0.340039,11926,221,2.8503479957580566,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4895.0, 5213.0, 5369.0, 5557.0, 5609.0, 5637.0, 5662.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gemma-3-12b-it,0.7,numeric,zero_shot,0,,plain,79.11,4511.86,4963.42,0.0,0.138872,0.312072,0.037332,0.33017,11926,222,2.8310446739196777,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[5498.0, 6365.0, 7289.0, 7882.0, 8319.0, 9192.0, 10093.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gemma-3-12b-it,0.7,textual,zero_shot,0,,plain,199.23,3287.43,3353.38,0.0,0.38887,0.873865,0.094625,0.836877,13428,217,6.688724517822266,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4.0, 5.0, 8.0, 9.0, 3.0, 6.0, 8.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gemma-3-12b-it,0.7,textual,zero_shot,0,,plain,199.07,3286.57,3352.85,0.0,0.131927,0.296465,0.035273,0.311962,13428,190,2.5250816345214844,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gemma-3-12b-it,0.7,textual,zero_shot,0,,plain,199.1,3286.71,3352.9,0.0,0.13862,0.311505,0.037562,0.332202,13428,217,2.8603222370147705,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4.0, 5.0, 7.0, 8.0, 9.0, 6.0, 9.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gemma-3-12b-it,0.7,textual,zero_shot,0,,plain,199.22,3287.29,3353.09,0.0,0.160332,0.360296,0.039553,0.349811,13428,217,2.863912582397461,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[9.0, 4.0, 8.0, 5.0, 4.0, 6.0, 8.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
Covid-19,2021-03-12 00:00:00,2022-03-10 00:00:00,7,gemma-3-12b-it,0.7,textual,zero_shot,0,,plain,199.11,3286.71,3352.84,0.0,0.161081,0.36198,0.038954,0.344517,13428,217,2.870628833770752,"[4184, 4194, 3614, 3116, 2503, 2568, 2876]","[4.0, 5.0, 9.0, 8.0, 9.0, 6.0, 7.0]","[OBJECTIVE]
Predict the next 7 values based on the historical series (364 periods).

[STATISTICAL CONTEXT]
- Mean: 87124.1099
- Median: 39083.5
- Standard Deviation: 107555.5417
- Minimum Value: 3993
- Maximum Value: 414188
- First Quartile (Q1): 16033.5
- Third Quartile (Q3): 109220.5
- Trend Strength (STL): 0.9985
- Seasonality Strength (STL): 0.7754

[INPUT]"
